run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.loss,metrics.sparse_categorical_accuracy,metrics.power_draw_total_gt,metrics.power_draw,metrics.power_draw_total,metrics.sparse_top_k_categorical_accuracy,metrics.running_time_total_gt,metrics.running_time,metrics.running_time_gt,metrics.power_draw_gt,metrics.running_time_total,params.batch_size,params.n_samples,params.batchsize,params.parameters,params.software,params.architecture,params.dataset,params.model,params.task,tags.mlflow.source.type,tags.mlflow.source.git.repoURL,tags.mlflow.user,tags.mlflow.project.entryPoint,tags.mlflow.project.backend,tags.mlflow.source.name,tags.mlflow.runName,tags.mlflow.source.git.commit,tags.mlflow.project.env
f1e622b0189346ad8b1b9a2fb1cdb5fd,309806188325510521,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/309806188325510521/f1e622b0189346ad8b1b9a2fb1cdb5fd/artifacts,2026-05-13 00:18:40.183000+00:00,2026-05-13 00:21:06.836000+00:00,1.030146598815918,0.760308563709259,36828.0,0.9646277986796067,28259.73599011776,0.9221736788749695,124.0,0.00420830930635571,0.004232659748771164,1.2570999453850356,123.2866294389969,16,29296.0,16,8212124,Tensorflow 2.21.0,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),EfficientNetV2B1,Inference,PROJECT,https://github.com/raphischer/ai-energy-validation.git,fischer,main.py,local,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,bedecked-flea-117,7e69f4af5b9b5ce6bd77fca6978f53af9fd3773f,conda
8e443b74776c4f788b904f569d8caaff,309806188325510521,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/309806188325510521/8e443b74776c4f788b904f569d8caaff/artifacts,2026-05-13 00:16:15.890000+00:00,2026-05-13 00:18:36.043000+00:00,1.1254637241363525,0.7385121583938599,33120.0,0.6421177734788532,25376.494407884282,0.9101720452308655,121.0,0.003051978798304793,0.003061740890688259,0.8380566801619433,120.61420210900542,16,39520.0,16,7200312,Tensorflow 2.21.0,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),EfficientNetV2B0,Inference,PROJECT,https://github.com/raphischer/ai-energy-validation.git,fischer,main.py,local,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,traveling-cod-998,7e69f4af5b9b5ce6bd77fca6978f53af9fd3773f,conda
dd5d908f912b4a2cbcdfeac84f734693,309806188325510521,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/309806188325510521/dd5d908f912b4a2cbcdfeac84f734693/artifacts,2026-05-13 00:13:30.629000+00:00,2026-05-13 00:16:11.782000+00:00,0.8573211431503296,0.825552225112915,35604.0,6.774835534387138,26990.944768998357,0.9600903391838074,122.0,0.030481666089358383,0.030622489959839357,8.936746987951807,121.4389577000038,16,3984.0,16,19466823,Tensorflow 2.21.0,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),EfficientNetB4,Inference,PROJECT,https://github.com/raphischer/ai-energy-validation.git,fischer,main.py,local,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,hilarious-rat-888,7e69f4af5b9b5ce6bd77fca6978f53af9fd3773f,conda
aa019df0c437465c8ad9d966c50a53ad,309806188325510521,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/309806188325510521/aa019df0c437465c8ad9d966c50a53ad/artifacts,2026-05-13 00:10:51.742000+00:00,2026-05-13 00:13:22.988000+00:00,0.8440460562705994,0.8101892471313477,36036.0,3.015031668056897,27400.60779930108,0.9496038556098938,121.0,0.013298207154489991,0.013314260563380281,3.9652288732394365,120.85410662000504,16,9088.0,16,12320535,Tensorflow 2.21.0,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),EfficientNetB3,Inference,PROJECT,https://github.com/raphischer/ai-energy-validation.git,fischer,main.py,local,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,bald-eel-204,7e69f4af5b9b5ce6bd77fca6978f53af9fd3773f,conda
7ed312142a7c44458e8cc114176a2975,309806188325510521,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/309806188325510521/7ed312142a7c44458e8cc114176a2975/artifacts,2026-05-13 00:08:18.449000+00:00,2026-05-13 00:10:47.909000+00:00,0.9911736845970154,0.7760231494903564,36936.0,1.5768560244878047,28358.17874438868,0.9323843121528625,122.0,0.006765113185275818,0.0067838078291814945,2.0538256227758005,121.6637955240003,16,17984.0,16,9177569,Tensorflow 2.21.0,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),EfficientNetB2,Inference,PROJECT,https://github.com/raphischer/ai-energy-validation.git,fischer,main.py,local,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,whimsical-hound-957,7e69f4af5b9b5ce6bd77fca6978f53af9fd3773f,conda
cb46133e84c44f0891a01050ca717e35,309806188325510521,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/309806188325510521/cb46133e84c44f0891a01050ca717e35/artifacts,2026-05-13 00:05:49.905000+00:00,2026-05-13 00:08:14.481000+00:00,1.267648696899414,0.7156468033790588,39528.0,0.8239679931325021,30269.2881957156,0.8948987126350403,128.0,0.0034683725919262063,0.003484320557491289,1.0760017421602788,127.41413553700112,16,36736.0,16,5330571,Tensorflow 2.21.0,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),EfficientNetB0,Inference,PROJECT,https://github.com/raphischer/ai-energy-validation.git,fischer,main.py,local,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,stately-wolf-687,7e69f4af5b9b5ce6bd77fca6978f53af9fd3773f,conda
bfd41aba5688462ead1f76fbdc799c73,309806188325510521,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/309806188325510521/bfd41aba5688462ead1f76fbdc799c73/artifacts,2026-05-13 00:03:32.808000+00:00,2026-05-13 00:05:45.863000+00:00,1.6610811948776245,0.6336636543273926,11376.0,0.1678693164661011,6336.05948069652,0.8391002416610718,114.0,0.003019485307174679,0.003020347604917338,0.301398897838067,113.96745343400109,16,37744.0,16,2554968,Tensorflow 2.21.0,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),MobileNetV3Small,Inference,PROJECT,https://github.com/raphischer/ai-energy-validation.git,fischer,main.py,local,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,grandiose-chimp-595,7e69f4af5b9b5ce6bd77fca6978f53af9fd3773f,conda
9bc281598562409d8d3be00971b6da86,309806188325510521,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/309806188325510521/9bc281598562409d8d3be00971b6da86/artifacts,2026-05-13 00:01:02.336000+00:00,2026-05-13 00:03:28.949000+00:00,1.278298020362854,0.712918221950531,12060.0,0.32095757108546097,6907.00692975912,0.8935873508453369,116.0,0.005367591381970457,0.005390334572490706,0.5604089219330854,115.51056654000422,16,21520.0,16,5507432,Tensorflow 2.21.0,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),MobileNetV3Large,Inference,PROJECT,https://github.com/raphischer/ai-energy-validation.git,fischer,main.py,local,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,adventurous-ray-554,7e69f4af5b9b5ce6bd77fca6978f53af9fd3773f,conda
7f21874d53974337a9002744df3f60e1,309806188325510521,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/309806188325510521/7f21874d53974337a9002744df3f60e1/artifacts,2026-05-12 23:58:39.995000+00:00,2026-05-13 00:00:58.199000+00:00,1.7879106998443604,0.6153204441070557,35244.0,0.5568892375507285,26695.04249123172,0.8264769911766052,119.0,0.002485969295456348,0.0024824766355140185,0.7352303070761015,119.16742414699549,16,47936.0,16,3538984,Tensorflow 2.21.0,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),MobileNetV2,Inference,PROJECT,https://github.com/raphischer/ai-energy-validation.git,fischer,main.py,local,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,marvelous-shad-709,7e69f4af5b9b5ce6bd77fca6978f53af9fd3773f,conda
4498390c4fb84527a567774bd90bdcfa,309806188325510521,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/309806188325510521/4498390c4fb84527a567774bd90bdcfa/artifacts,2026-05-12 23:56:18.531000+00:00,2026-05-12 23:58:36.252000+00:00,1.8112552165985107,0.6130249500274658,36108.0,0.49692633763799215,27263.3665881708,0.8229439854621887,121.0,0.0022133359983047877,0.002205453484981044,0.6581364829396326,121.43246621099388,16,54864.0,16,4253864,Tensorflow 2.21.0,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),MobileNet,Inference,PROJECT,https://github.com/raphischer/ai-energy-validation.git,fischer,main.py,local,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,skittish-gnat-576,7e69f4af5b9b5ce6bd77fca6978f53af9fd3773f,conda
