,ocr,value,manual,val_diff,still_errors
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/eacbce14f0424e30b11e04529535d583_capture_start.jpg,0.011,0.011,False,,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/eacbce14f0424e30b11e04529535d583_capture_stop.jpg,0.142,0.142,False,0.13099999999999998,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/da490e537ac34744bd9f865a47a00a4e_capture_start.jpg,0.143,0.143,False,0.0010000000000000009,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/da490e537ac34744bd9f865a47a00a4e_capture_stop.jpg,0.259,0.259,False,0.11600000000000002,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/e9c50e8379d947cab4792c3423aa8750_capture_start.jpg,0.262,0.262,False,0.0030000000000000027,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/e9c50e8379d947cab4792c3423aa8750_capture_stop.jpg,0.379,0.379,False,0.11699999999999999,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/135733e8621d434aa299d30f6779125f_capture_start.jpg,0.387,0.387,True,0.008000000000000007,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/135733e8621d434aa299d30f6779125f_capture_stop.jpg,0.497,0.497,False,0.10999999999999999,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/d00be503d9a14e2383c52213c769e946_capture_start.jpg,0.498,0.498,True,0.0010000000000000009,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/d00be503d9a14e2383c52213c769e946_capture_stop.jpg,0.595,0.595,False,0.09699999999999998,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/f4b796d7c5694f0c94cb6d3e137557c8_capture_start.jpg,0.596,0.596,True,0.0010000000000000009,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/f4b796d7c5694f0c94cb6d3e137557c8_capture_stop.jpg,0.686,0.686,False,0.09000000000000008,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/c41e3c7ccfdc4acf93aaa3cc76befa7d_capture_start.jpg,0.688,0.688,True,0.0019999999999998908,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/c41e3c7ccfdc4acf93aaa3cc76befa7d_capture_stop.jpg,0.792,0.792,False,0.10400000000000009,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/73ef68ed65bb4f13831ac5a4871d6076_capture_start.jpg,0.793,0.793,True,0.0010000000000000009,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/73ef68ed65bb4f13831ac5a4871d6076_capture_stop.jpg,0.898,0.898,False,0.10499999999999998,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/3c4e4833c5c84e7b92fafab7d7fbf96c_capture_start.jpg,0.899,0.899,True,0.0010000000000000009,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/3c4e4833c5c84e7b92fafab7d7fbf96c_capture_stop.jpg,0.969,0.969,False,0.06999999999999995,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/c29aeb0f5d10426fabf960f4276e4807_capture_start.jpg,0.970,0.97,False,0.0010000000000000009,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/c29aeb0f5d10426fabf960f4276e4807_capture_stop.jpg,1.039,1.039,False,0.06899999999999995,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/03a422f21b5f4483812217beaa4c99fd_capture_start.jpg,1.042,1.042,False,0.0030000000000001137,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/03a422f21b5f4483812217beaa4c99fd_capture_stop.jpg,1.123,1.123,False,0.08099999999999996,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/300b219d08fc4af99c054a94a8b21493_capture_start.jpg,1.124,1.124,False,0.001000000000000112,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/300b219d08fc4af99c054a94a8b21493_capture_stop.jpg,1.205,1.205,False,0.08099999999999996,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/c14e4532efa84325aa808d3a6dc9acb6_capture_start.jpg,1.208,1.208,False,0.06299999999999994,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/c14e4532efa84325aa808d3a6dc9acb6_capture_stop.jpg,1.341,1.341,False,0.07299999999999995,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/b171067a424b49ee837663eda8caba62_capture_start.jpg,1.342,1.342,False,0.001000000000000112,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/b171067a424b49ee837663eda8caba62_capture_stop.jpg,1.472,1.472,False,0.1299999999999999,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/e98ff8225053420abb8b43838b171ec0_capture_start.jpg,1.474,1.474,False,0.0020000000000000018,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/e98ff8225053420abb8b43838b171ec0_capture_stop.jpg,1.585,1.585,False,0.11099999999999999,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/6da2fd3f750c475c8851b855453e8b5e_capture_start.jpg,1.587,1.587,False,0.0020000000000000018,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/6da2fd3f750c475c8851b855453e8b5e_capture_stop.jpg,1.697,1.697,False,0.1100000000000001,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/3fda34fb1c98403f8b7227d87a70b54d_capture_start.jpg,1.698,1.698,True,0.0009999999999998899,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/3fda34fb1c98403f8b7227d87a70b54d_capture_stop.jpg,1.794,1.794,False,0.09600000000000009,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/3fd0542a56d4403197aeee8489e37ae6_capture_start.jpg,1.794,1.794,True,0.0,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-18_09-52-13/3fd0542a56d4403197aeee8489e37ae6_capture_stop.jpg,1.884,1.884,False,0.08999999999999986,False
