run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.power_draw,metrics.power_draw_total,metrics.running_time,metrics.n_tokens_in,metrics.n_tokens_out,metrics.running_time_total,params.parameters,params.model,params.architecture,params.dataset,params.n_samples,params.temperature,params.file_size,params.seconds,params.task,tags.mlflow.source.name,tags.mlflow.source.git.repoURL,tags.mlflow.project.entryPoint,tags.mlflow.user,tags.mlflow.runName,tags.mlflow.source.git.commit,tags.mlflow.source.type,tags.mlflow.project.backend,tags.mlflow.project.env
6244958dac5942d1ad2482e68517b972,593090544047217993,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/593090544047217993/6244958dac5942d1ad2482e68517b972/artifacts,2025-09-20 03:00:35.881000+00:00,2025-09-20 03:15:48.944000+00:00,21948.370888879905,373122.3051109584,51.61288908034947,6686.0,49579.0,877.4191143659409,23.6B,magistral:24b,NVIDIA GeForce RTX 4090,LLM Benchmark (Puffin),17,0.7,14333921206,900,Inference,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,https://github.com/raphischer/ai-energy-validation.git,main.py,fischer,monumental-shark-314,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,PROJECT,local,conda
c7f72696fbfc4368bd818bcfe7f20d77,593090544047217993,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/593090544047217993/c7f72696fbfc4368bd818bcfe7f20d77/artifacts,2025-09-20 02:29:58.616000+00:00,2025-09-20 03:00:32.890000+00:00,170486.60458318514,681946.4183327405,399.0098761214758,913.0,88632.0,1596.0395044859033,23.6B,magistral:24b,NVIDIA GeForce RTX 4090,LLM Benchmark (Puffin),4,0.1,14333921206,900,Inference,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,https://github.com/raphischer/ai-energy-validation.git,main.py,fischer,delightful-kite-930,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,PROJECT,local,conda
3418152c437e45ee8785a32d7921459e,593090544047217993,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/593090544047217993/3418152c437e45ee8785a32d7921459e/artifacts,2025-09-20 02:14:40.836000+00:00,2025-09-20 02:29:55.630000+00:00,5981.58421984928,323005.54787186114,16.38947965666712,40423.0,34076.0,885.0319014600245,24.0B,mistral-small3.2:24b,NVIDIA GeForce RTX 4090,LLM Benchmark (Puffin),54,0.7,15177384862,900,Inference,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,https://github.com/raphischer/ai-energy-validation.git,main.py,fischer,youthful-stork-540,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,PROJECT,local,conda
3b8986e70d3e43f8b6788b27df16d75b,593090544047217993,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/593090544047217993/3b8986e70d3e43f8b6788b27df16d75b/artifacts,2025-09-20 01:56:24.186000+00:00,2025-09-20 02:14:37.720000+00:00,5691.739160442544,330120.87130566756,15.667541120620848,38118.0,35161.0,908.7173849960092,24.0B,mistral-small3.2:24b,NVIDIA GeForce RTX 4090,LLM Benchmark (Puffin),58,0.1,15177384862,900,Inference,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,https://github.com/raphischer/ai-energy-validation.git,main.py,fischer,nervous-kit-0,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,PROJECT,local,conda
75fcf78ff5464b33b8f44d15829f8c07,593090544047217993,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/593090544047217993/75fcf78ff5464b33b8f44d15829f8c07/artifacts,2025-09-20 01:40:54.993000+00:00,2025-09-20 01:56:21.295000+00:00,1298.5721122507869,355808.75875671563,3.2759390052154753,43538.0,141643.0,897.6072874290403,7.2B,mistral:7b,NVIDIA GeForce RTX 4090,LLM Benchmark (Puffin),274,0.7,4372824384,900,Inference,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,https://github.com/raphischer/ai-energy-validation.git,main.py,fischer,rumbling-moth-325,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,PROJECT,local,conda
ef88e4be9984492fb41df02e4c3a35e8,593090544047217993,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/593090544047217993/ef88e4be9984492fb41df02e4c3a35e8/artifacts,2025-09-20 01:24:20.604000+00:00,2025-09-20 01:40:52.029000+00:00,1231.7168262529112,354734.44596083846,3.124847979437618,41530.0,142231.0,899.956218078034,7.2B,mistral:7b,NVIDIA GeForce RTX 4090,LLM Benchmark (Puffin),288,0.1,4372824384,900,Inference,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,https://github.com/raphischer/ai-energy-validation.git,main.py,fischer,burly-cod-895,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,PROJECT,local,conda
ac8a26dd137b4fe99abd51a435e207d8,593090544047217993,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/593090544047217993/ac8a26dd137b4fe99abd51a435e207d8/artifacts,2025-09-20 01:08:37.133000+00:00,2025-09-20 01:24:17.776000+00:00,264.1619727142512,260727.86706896592,0.9205418360496709,194975.0,500558.0,908.5747921810251,1B,tinyllama:1.1b,NVIDIA GeForce RTX 4090,LLM Benchmark (Puffin),987,0.7,637700138,900,Inference,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,https://github.com/raphischer/ai-energy-validation.git,main.py,fischer,resilient-snail-329,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,PROJECT,local,conda
53b88b66cdfc4e1ab360de9b6338ca96,593090544047217993,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/593090544047217993/53b88b66cdfc4e1ab360de9b6338ca96/artifacts,2025-09-20 00:52:44.914000+00:00,2025-09-20 01:08:34.235000+00:00,679.6842272726187,265076.8486363213,2.306880468012801,74180.0,500204.0,899.6833825249923,1B,tinyllama:1.1b,NVIDIA GeForce RTX 4090,LLM Benchmark (Puffin),390,0.1,637700138,900,Inference,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,https://github.com/raphischer/ai-energy-validation.git,main.py,fischer,delightful-frog-337,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,PROJECT,local,conda
71eae25a9b1c4505a71670c7eb3a51b0,593090544047217993,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/593090544047217993/71eae25a9b1c4505a71670c7eb3a51b0/artifacts,2025-09-20 00:37:13.674000+00:00,2025-09-20 00:52:42.027000+00:00,670.5534707424472,301749.0618341012,1.9996247524687918,66234.0,220125.0,899.8311386109563,3.2B,llama3.2:3b,NVIDIA GeForce RTX 4090,LLM Benchmark (Puffin),450,0.7,2019393189,900,Inference,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,https://github.com/raphischer/ai-energy-validation.git,main.py,fischer,flawless-zebra-8,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,PROJECT,local,conda
3c42af3bf8f149a5845f2c18c5fe6d48,593090544047217993,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/593090544047217993/3c42af3bf8f149a5845f2c18c5fe6d48/artifacts,2025-09-20 00:21:08.925000+00:00,2025-09-20 00:37:10.709000+00:00,853.0966184168465,305408.589393231,2.5070501628322734,60167.0,215065.0,897.5239582939539,3.2B,llama3.2:3b,NVIDIA GeForce RTX 4090,LLM Benchmark (Puffin),358,0.1,2019393189,900,Inference,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,https://github.com/raphischer/ai-energy-validation.git,main.py,fischer,youthful-yak-382,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,PROJECT,local,conda
