run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.loss,metrics.sparse_categorical_accuracy,metrics.sparse_top_k_categorical_accuracy,metrics.power_draw,metrics.running_time,metrics.running_time_total,metrics.power_draw_total,params.n_samples,params.architecture,params.model,params.seconds,params.batchsize,params.datadir,params.dataset,params.software,params.parameters,params.batch_size,params.task,tags.mlflow.source.git.repoURL,tags.mlflow.source.name,tags.mlflow.source.git.commit,tags.mlflow.runName,tags.mlflow.project.backend,tags.mlflow.project.entryPoint,tags.mlflow.user,tags.mlflow.project.env,tags.mlflow.source.type
aa8aaf06d9274032bd8d6c46fa2c100f,392670822147548100,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/392670822147548100/aa8aaf06d9274032bd8d6c46fa2c100f/artifacts,2025-09-12 07:18:43.454000+00:00,2025-09-12 07:21:26.508000+00:00,1.0308923721313477,0.7602611780166626,0.9221254587173462,1.001520802267388,0.004213660105514575,121.96017809401384,28988.01810082728,28944.0,13th Gen Intel(R) Core(TM) i9-13900K,EfficientNetV2B1,120,16,/data/d1/fischer_diss/imagenet,ImageNet (ILSVRC 2012),Tensorflow 2.20.0,8212124,16,Inference,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,ed7cc1e8307e51ac1513873b57d9baaad362c641,orderly-rat-715,local,main.py,fischer,conda,PROJECT
bc4b363aa5c1468b805c3566d1eca137,392670822147548100,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/392670822147548100/bc4b363aa5c1468b805c3566d1eca137/artifacts,2025-09-12 07:16:16.941000+00:00,2025-09-12 07:18:39.596000+00:00,1.1226266622543335,0.739531397819519,0.9102068543434143,0.545890473438806,0.0032017725399736403,102.76409144299396,17520.90063549192,32096.0,13th Gen Intel(R) Core(TM) i9-13900K,EfficientNetV2B0,120,16,/data/d1/fischer_diss/imagenet,ImageNet (ILSVRC 2012),Tensorflow 2.20.0,7200312,16,Inference,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,ed7cc1e8307e51ac1513873b57d9baaad362c641,bustling-gnat-444,local,main.py,fischer,conda,PROJECT
bc6c397d92d04c1a9f88aec297b47367,392670822147548100,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/392670822147548100/bc6c397d92d04c1a9f88aec297b47367/artifacts,2025-09-12 07:13:13.149000+00:00,2025-09-12 07:16:13.075000+00:00,0.856578528881073,0.825644850730896,0.9600694179534912,7.510370376286697,0.029709217042658394,119.78756311599864,30281.813357187963,4032.0,13th Gen Intel(R) Core(TM) i9-13900K,EfficientNetB4,120,16,/data/d1/fischer_diss/imagenet,ImageNet (ILSVRC 2012),Tensorflow 2.20.0,19466823,16,Inference,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,ed7cc1e8307e51ac1513873b57d9baaad362c641,entertaining-gnat-13,local,main.py,fischer,conda,PROJECT
56f8090a6983421a93d1aa3dfc09317f,392670822147548100,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/392670822147548100/56f8090a6983421a93d1aa3dfc09317f/artifacts,2025-09-12 07:10:17.346000+00:00,2025-09-12 07:13:09.119000+00:00,0.8428398370742798,0.8105670213699341,0.9498496651649475,3.295925112581598,0.012796214559816114,119.15834998100765,30691.65464835984,9312.0,13th Gen Intel(R) Core(TM) i9-13900K,EfficientNetB3,120,16,/data/d1/fischer_diss/imagenet,ImageNet (ILSVRC 2012),Tensorflow 2.20.0,12320535,16,Inference,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,ed7cc1e8307e51ac1513873b57d9baaad362c641,glamorous-ape-400,local,main.py,fischer,conda,PROJECT
b511407d0fcd4485b27c714ce0ac0cf7,392670822147548100,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/392670822147548100/b511407d0fcd4485b27c714ce0ac0cf7/artifacts,2025-09-12 07:07:25.104000+00:00,2025-09-12 07:10:13.545000+00:00,0.9917287230491638,0.7757765054702759,0.9322152733802795,1.6567195562316848,0.006579016337413965,122.00127896100456,30722.20745076036,18544.0,13th Gen Intel(R) Core(TM) i9-13900K,EfficientNetB2,120,16,/data/d1/fischer_diss/imagenet,ImageNet (ILSVRC 2012),Tensorflow 2.20.0,9177569,16,Inference,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,ed7cc1e8307e51ac1513873b57d9baaad362c641,intelligent-bee-123,local,main.py,fischer,conda,PROJECT
c5a8eba8737c4daebcd9bf624580dd11,392670822147548100,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/392670822147548100/c5a8eba8737c4daebcd9bf624580dd11/artifacts,2025-09-12 07:04:48.562000+00:00,2025-09-12 07:07:21.484000+00:00,1.265246868133545,0.7162854075431824,0.895380437374115,0.7953559311095969,0.003508444855851959,111.0352627980028,25171.42450775652,31648.0,13th Gen Intel(R) Core(TM) i9-13900K,EfficientNetB0,120,16,/data/d1/fischer_diss/imagenet,ImageNet (ILSVRC 2012),Tensorflow 2.20.0,5330571,16,Inference,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,ed7cc1e8307e51ac1513873b57d9baaad362c641,persistent-panda-720,local,main.py,fischer,conda,PROJECT
8a3034012e614be9914d73af48e60ed5,392670822147548100,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/392670822147548100/8a3034012e614be9914d73af48e60ed5/artifacts,2025-09-12 07:02:14.520000+00:00,2025-09-12 07:04:44.897000+00:00,1.6597025394439697,0.6338232159614563,0.8394235372543335,0.13677819843391853,0.003132912771987146,110.42890938700292,4821.15793839876,35248.0,13th Gen Intel(R) Core(TM) i9-13900K,MobileNetV3Small,120,16,/data/d1/fischer_diss/imagenet,ImageNet (ILSVRC 2012),Tensorflow 2.20.0,2554968,16,Inference,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,ed7cc1e8307e51ac1513873b57d9baaad362c641,smiling-whale-299,local,main.py,fischer,conda,PROJECT
7aed5c8c9af04472bfc69c51158deb24,392670822147548100,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/392670822147548100/7aed5c8c9af04472bfc69c51158deb24/artifacts,2025-09-12 06:59:23.829000+00:00,2025-09-12 07:02:10.837000+00:00,1.2852133512496948,0.7116511464118958,0.8922291994094849,0.268918108519329,0.005918807731658951,117.14504262499396,5322.42720381456,19792.0,13th Gen Intel(R) Core(TM) i9-13900K,MobileNetV3Large,120,16,/data/d1/fischer_diss/imagenet,ImageNet (ILSVRC 2012),Tensorflow 2.20.0,5507432,16,Inference,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,ed7cc1e8307e51ac1513873b57d9baaad362c641,powerful-foal-799,local,main.py,fischer,conda,PROJECT
12a7f37bef5b462aa566bb05f2c68703,392670822147548100,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/392670822147548100/12a7f37bef5b462aa566bb05f2c68703/artifacts,2025-09-12 06:56:49.491000+00:00,2025-09-12 06:59:20.178000+00:00,1.7874020338058472,0.6153504252433777,0.8267076015472412,0.594804062923279,0.00247863552225644,111.47911124900564,26751.9075340374,44976.0,13th Gen Intel(R) Core(TM) i9-13900K,MobileNetV2,120,16,/data/d1/fischer_diss/imagenet,ImageNet (ILSVRC 2012),Tensorflow 2.20.0,3538984,16,Inference,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,ed7cc1e8307e51ac1513873b57d9baaad362c641,caring-finch-759,local,main.py,fischer,conda,PROJECT
c49370d42b734f42a151280c3f0c60eb,392670822147548100,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/392670822147548100/c49370d42b734f42a151280c3f0c60eb/artifacts,2025-09-12 06:54:10.508000+00:00,2025-09-12 06:56:45.740000+00:00,1.8121263980865479,0.6128135919570923,0.8225128054618835,0.5366750294908644,0.0021483928326324325,120.58499290999316,30122.49605526324,56128.0,13th Gen Intel(R) Core(TM) i9-13900K,MobileNet,120,16,/data/d1/fischer_diss/imagenet,ImageNet (ILSVRC 2012),Tensorflow 2.20.0,4253864,16,Inference,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,ed7cc1e8307e51ac1513873b57d9baaad362c641,unleashed-shrimp-258,local,main.py,fischer,conda,PROJECT
