run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.sparse_top_k_categorical_accuracy,metrics.running_time,metrics.sparse_categorical_accuracy,metrics.power_draw_total,metrics.loss,metrics.running_time_total,metrics.power_draw,params.batchsize,params.n_samples,params.architecture,params.task,params.model,params.datadir,params.seconds,params.parameters,params.batch_size,params.dataset,params.software,tags.mlflow.project.env,tags.mlflow.source.type,tags.mlflow.runName,tags.mlflow.project.entryPoint,tags.mlflow.project.backend,tags.mlflow.source.git.repoURL,tags.mlflow.source.name,tags.mlflow.user,tags.mlflow.source.git.commit
9d5ebab0d5e44b7c9f2f2cebe86760f0,839899330872527168,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/839899330872527168/9d5ebab0d5e44b7c9f2f2cebe86760f0/artifacts,2025-09-12 14:38:00.325000+00:00,2025-09-12 14:40:37.872000+00:00,0.9223710298538208,0.00409479380218964,0.7603812217712402,27903.15618281028,1.0302438735961914,115.5714602730004,0.988632234368278,16,28224.0,13th Gen Intel(R) Core(TM) i9-13900K,Inference,EfficientNetV2B1,/data/d1/fischer_diss/imagenet,120,8212124,16,ImageNet (ILSVRC 2012),Tensorflow 2.20.0,conda,PROJECT,bald-snail-716,main.py,local,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,fischer,e8abdb420bec5a90bcf2772f65509d5ff4d2baae
7f520e19963a4606931356ac8450935e,839899330872527168,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/839899330872527168/7f520e19963a4606931356ac8450935e/artifacts,2025-09-12 14:35:30.097000+00:00,2025-09-12 14:37:56.365000+00:00,0.9100530743598938,0.00347912219617417,0.7394484877586365,15026.63538152052,1.1240988969802856,107.49095937299715,0.4863618391222333,16,30896.0,13th Gen Intel(R) Core(TM) i9-13900K,Inference,EfficientNetV2B0,/data/d1/fischer_diss/imagenet,120,7200312,16,ImageNet (ILSVRC 2012),Tensorflow 2.20.0,conda,PROJECT,suave-frog-751,main.py,local,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,fischer,e8abdb420bec5a90bcf2772f65509d5ff4d2baae
dd356b5374a4463493a98c4119379f1e,839899330872527168,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/839899330872527168/dd356b5374a4463493a98c4119379f1e/artifacts,2025-09-12 14:32:24.472000+00:00,2025-09-12 14:35:26.165000+00:00,0.9602941274642944,0.029725581209558916,0.8252450823783875,29660.20611486768,0.8575690984725952,121.28037133500038,7.269658361487177,16,4080.0,13th Gen Intel(R) Core(TM) i9-13900K,Inference,EfficientNetB4,/data/d1/fischer_diss/imagenet,120,19466823,16,ImageNet (ILSVRC 2012),Tensorflow 2.20.0,conda,PROJECT,unique-lark-984,main.py,local,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,fischer,e8abdb420bec5a90bcf2772f65509d5ff4d2baae
a38ec3c72a384724b6784946a8c00c38,839899330872527168,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/839899330872527168/a38ec3c72a384724b6784946a8c00c38/artifacts,2025-09-12 14:29:27.911000+00:00,2025-09-12 14:32:20.638000+00:00,0.9498284459114075,0.012861034576757382,0.8104631304740906,30212.235523963078,0.8435115218162537,119.96773053199286,3.2388760210080485,16,9328.0,13th Gen Intel(R) Core(TM) i9-13900K,Inference,EfficientNetB3,/data/d1/fischer_diss/imagenet,120,12320535,16,ImageNet (ILSVRC 2012),Tensorflow 2.20.0,conda,PROJECT,delicate-gull-560,main.py,local,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,fischer,e8abdb420bec5a90bcf2772f65509d5ff4d2baae
597fe4980fde45c0a2bd53a5f0f5ba82,839899330872527168,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/839899330872527168/597fe4980fde45c0a2bd53a5f0f5ba82/artifacts,2025-09-12 14:26:35.354000+00:00,2025-09-12 14:29:23.785000+00:00,0.932117760181427,0.006638289231437077,0.7752636075019836,30001.0871857986,0.9927113056182861,120.8699703260063,1.6476871257578316,16,18208.0,13th Gen Intel(R) Core(TM) i9-13900K,Inference,EfficientNetB2,/data/d1/fischer_diss/imagenet,120,9177569,16,ImageNet (ILSVRC 2012),Tensorflow 2.20.0,conda,PROJECT,abundant-bass-977,main.py,local,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,fischer,e8abdb420bec5a90bcf2772f65509d5ff4d2baae
da770cc37a0e4586b79539ec4001ad87,839899330872527168,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/839899330872527168/da770cc37a0e4586b79539ec4001ad87/artifacts,2025-09-12 14:23:58.605000+00:00,2025-09-12 14:26:31.541000+00:00,0.895133376121521,0.0034420647260376136,0.7164340615272522,27548.10623106864,1.2647773027420044,111.46782408800208,0.8506702764040465,16,32384.0,13th Gen Intel(R) Core(TM) i9-13900K,Inference,EfficientNetB0,/data/d1/fischer_diss/imagenet,120,5330571,16,ImageNet (ILSVRC 2012),Tensorflow 2.20.0,conda,PROJECT,caring-mouse-446,main.py,local,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,fischer,e8abdb420bec5a90bcf2772f65509d5ff4d2baae
e9589bbea88648f4b0d24cdc9e7c5583,839899330872527168,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/839899330872527168/e9589bbea88648f4b0d24cdc9e7c5583/artifacts,2025-09-12 14:21:16.256000+00:00,2025-09-12 14:23:54.737000+00:00,0.8389948606491089,0.003130935265323652,0.6339209079742432,5096.47590979416,1.6605850458145142,116.87155158400128,0.13653225219122803,16,37328.0,13th Gen Intel(R) Core(TM) i9-13900K,Inference,MobileNetV3Small,/data/d1/fischer_diss/imagenet,120,2554968,16,ImageNet (ILSVRC 2012),Tensorflow 2.20.0,conda,PROJECT,glamorous-wolf-435,main.py,local,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,fischer,e8abdb420bec5a90bcf2772f65509d5ff4d2baae
2bb273bcd21948c582cf77d07c070794,839899330872527168,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/839899330872527168/2bb273bcd21948c582cf77d07c070794/artifacts,2025-09-12 14:18:25.858000+00:00,2025-09-12 14:21:12.391000+00:00,0.8935585021972656,0.005638281587637535,0.7129811644554138,5468.6883619011605,1.2795785665512085,114.84051937700131,0.26849412617346624,16,20368.0,13th Gen Intel(R) Core(TM) i9-13900K,Inference,MobileNetV3Large,/data/d1/fischer_diss/imagenet,120,5507432,16,ImageNet (ILSVRC 2012),Tensorflow 2.20.0,conda,PROJECT,invincible-owl-327,main.py,local,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,fischer,e8abdb420bec5a90bcf2772f65509d5ff4d2baae
8af9af3fb65f4359bf8bf130376cbaab,839899330872527168,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/839899330872527168/8af9af3fb65f4359bf8bf130376cbaab/artifacts,2025-09-12 14:15:54.664000+00:00,2025-09-12 14:18:22.091000+00:00,0.8266209363937378,0.002497448324849979,0.6157146692276001,25470.492918085078,1.7881982326507568,110.00760381299187,0.5782440273811541,16,44048.0,13th Gen Intel(R) Core(TM) i9-13900K,Inference,MobileNetV2,/data/d1/fischer_diss/imagenet,120,3538984,16,ImageNet (ILSVRC 2012),Tensorflow 2.20.0,conda,PROJECT,polite-bear-361,main.py,local,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,fischer,e8abdb420bec5a90bcf2772f65509d5ff4d2baae
60e35191a9e7470c8cc9e70b0d8201f7,839899330872527168,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/839899330872527168/60e35191a9e7470c8cc9e70b0d8201f7/artifacts,2025-09-12 14:13:13.608000+00:00,2025-09-12 14:15:50.988000+00:00,0.8227911591529846,0.0021538270795143626,0.6128442287445068,29599.9834025592,1.811600923538208,120.1318591869931,0.5306939078198365,16,55776.0,13th Gen Intel(R) Core(TM) i9-13900K,Inference,MobileNet,/data/d1/fischer_diss/imagenet,120,4253864,16,ImageNet (ILSVRC 2012),Tensorflow 2.20.0,conda,PROJECT,fortunate-fox-249,main.py,local,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,fischer,e8abdb420bec5a90bcf2772f65509d5ff4d2baae
90f74c8f8cec479ea8ed43b388e30480,839899330872527168,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/839899330872527168/90f74c8f8cec479ea8ed43b388e30480/artifacts,2025-09-12 14:10:20.236000+00:00,2025-09-12 14:13:09.909000+00:00,0.9300154447555542,0.009325678891897874,0.7696759104728699,28928.07819007884,1.0087496042251587,120.86079843899644,2.2321047986171942,16,12960.0,13th Gen Intel(R) Core(TM) i9-13900K,Inference,InceptionV3,/data/d1/fischer_diss/imagenet,120,23851784,16,ImageNet (ILSVRC 2012),Tensorflow 2.20.0,conda,PROJECT,unique-snake-744,main.py,local,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,fischer,e8abdb420bec5a90bcf2772f65509d5ff4d2baae
