run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.power_draw,metrics.loss,metrics.running_time,metrics.power_draw_total,metrics.sparse_categorical_accuracy,metrics.running_time_total,metrics.sparse_top_k_categorical_accuracy,params.architecture,params.n_samples,params.seconds,params.datadir,params.task,params.parameters,params.batchsize,params.software,params.model,params.dataset,params.batch_size,tags.mlflow.source.type,tags.mlflow.source.git.repoURL,tags.mlflow.runName,tags.mlflow.project.env,tags.mlflow.source.name,tags.mlflow.project.entryPoint,tags.mlflow.project.backend,tags.mlflow.user,tags.mlflow.source.git.commit
4b812f1a55204e00a849e4804efb32bf,203913141069193703,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/203913141069193703/4b812f1a55204e00a849e4804efb32bf/artifacts,2025-09-11 13:55:09.702000+00:00,2025-09-11 13:57:55.153000+00:00,1.011701449907838,1.0270346403121948,0.00394776748600559,31953.57859388916,0.7611448764801025,124.68628827800056,0.9223340749740601,13th Gen Intel(R) Core(TM) i9-13900K,31584.0,120,/data/d1/fischer_diss/imagenet,Inference,8212124,16,Tensorflow 2.20.0,EfficientNetV2B1,ImageNet (ILSVRC 2012),16,PROJECT,https://github.com/raphischer/ai-energy-validation.git,trusting-horse-255,conda,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,local,fischer,18d87126bd281286c450e330e54bf99edbf44806
2418bb1507274e09bc3d2080d5da5cb0,203913141069193703,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/203913141069193703/2418bb1507274e09bc3d2080d5da5cb0/artifacts,2025-09-11 13:52:35.164000+00:00,2025-09-11 13:55:05.777000+00:00,0.47820910369732134,1.1216380596160889,0.0034714999398590095,15203.22382474524,0.7399660348892212,110.36592608799764,0.9103547930717468,13th Gen Intel(R) Core(TM) i9-13900K,31792.0,120,/data/d1/fischer_diss/imagenet,Inference,7200312,16,Tensorflow 2.20.0,EfficientNetV2B0,ImageNet (ILSVRC 2012),16,PROJECT,https://github.com/raphischer/ai-energy-validation.git,aged-shark-383,conda,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,local,fischer,18d87126bd281286c450e330e54bf99edbf44806
bc4ffdcfcdae4502b8260b4ce8aca323,203913141069193703,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/203913141069193703/bc4ffdcfcdae4502b8260b4ce8aca323/artifacts,2025-09-11 13:49:30.244000+00:00,2025-09-11 13:52:31.275000+00:00,7.4808723087469415,0.8575690984725952,0.029722160682843193,30521.95901968752,0.8252450823783875,121.26641558600022,0.9602941274642944,13th Gen Intel(R) Core(TM) i9-13900K,4080.0,120,/data/d1/fischer_diss/imagenet,Inference,19466823,16,Tensorflow 2.20.0,EfficientNetB4,ImageNet (ILSVRC 2012),16,PROJECT,https://github.com/raphischer/ai-energy-validation.git,skittish-gull-755,conda,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,local,fischer,18d87126bd281286c450e330e54bf99edbf44806
23a1ad1cb07b4e70a3151cd203008da4,203913141069193703,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/203913141069193703/23a1ad1cb07b4e70a3151cd203008da4/artifacts,2025-09-11 13:46:35.058000+00:00,2025-09-11 13:49:26.416000+00:00,3.2776552299029738,0.8438083529472351,0.012800684649030324,30416.640533499598,0.8102370500564575,118.7903535430014,0.9497844576835632,13th Gen Intel(R) Core(TM) i9-13900K,9280.0,120,/data/d1/fischer_diss/imagenet,Inference,12320535,16,Tensorflow 2.20.0,EfficientNetB3,ImageNet (ILSVRC 2012),16,PROJECT,https://github.com/raphischer/ai-energy-validation.git,debonair-finch-658,conda,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,local,fischer,18d87126bd281286c450e330e54bf99edbf44806
fc8543479856421c83e39fdb30e3f3f6,203913141069193703,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/203913141069193703/fc8543479856421c83e39fdb30e3f3f6/artifacts,2025-09-11 13:43:44.398000+00:00,2025-09-11 13:46:31.142000+00:00,1.7119235498813943,0.9932812452316284,0.006567506295479431,31280.267103432838,0.7750109434127808,120.00147503100015,0.9320271611213684,13th Gen Intel(R) Core(TM) i9-13900K,18272.0,120,/data/d1/fischer_diss/imagenet,Inference,9177569,16,Tensorflow 2.20.0,EfficientNetB2,ImageNet (ILSVRC 2012),16,PROJECT,https://github.com/raphischer/ai-energy-validation.git,popular-goat-618,conda,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,local,fischer,18d87126bd281286c450e330e54bf99edbf44806
23c0ebd364244d63a18c159892bdfc45,203913141069193703,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/203913141069193703/23c0ebd364244d63a18c159892bdfc45/artifacts,2025-09-11 13:40:59.963000+00:00,2025-09-11 13:43:40.546000+00:00,0.8155636969510498,1.2657541036605835,0.003426140760264165,28525.155864559918,0.7158051133155823,119.83269923099942,0.8952996134757996,13th Gen Intel(R) Core(TM) i9-13900K,34976.0,120,/data/d1/fischer_diss/imagenet,Inference,5330571,16,Tensorflow 2.20.0,EfficientNetB0,ImageNet (ILSVRC 2012),16,PROJECT,https://github.com/raphischer/ai-energy-validation.git,clean-bear-996,conda,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,local,fischer,18d87126bd281286c450e330e54bf99edbf44806
b4f785bd57314d3da43c57e4ff040e19,203913141069193703,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/203913141069193703/b4f785bd57314d3da43c57e4ff040e19/artifacts,2025-09-11 13:38:23.244000+00:00,2025-09-11 13:40:56.232000+00:00,0.1355842517046472,1.658929705619812,0.0031695508340449582,4826.79936068544,0.6340168714523315,112.83600969200052,0.8394944071769714,13th Gen Intel(R) Core(TM) i9-13900K,35600.0,120,/data/d1/fischer_diss/imagenet,Inference,2554968,16,Tensorflow 2.20.0,MobileNetV3Small,ImageNet (ILSVRC 2012),16,PROJECT,https://github.com/raphischer/ai-energy-validation.git,amusing-doe-572,conda,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,local,fischer,18d87126bd281286c450e330e54bf99edbf44806
8111cf061c2f4528bb5b0acb6b75559a,203913141069193703,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/203913141069193703/8111cf061c2f4528bb5b0acb6b75559a/artifacts,2025-09-11 13:35:46.079000+00:00,2025-09-11 13:38:19.502000+00:00,0.26352366806216737,1.28396475315094,0.00572105740668477,4848.83549234388,0.7120108604431152,105.26745628299976,0.8923913240432739,13th Gen Intel(R) Core(TM) i9-13900K,18400.0,120,/data/d1/fischer_diss/imagenet,Inference,5507432,16,Tensorflow 2.20.0,MobileNetV3Large,ImageNet (ILSVRC 2012),16,PROJECT,https://github.com/raphischer/ai-energy-validation.git,carefree-shad-346,conda,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,local,fischer,18d87126bd281286c450e330e54bf99edbf44806
f733dd3dc9b3436cb1eb11e490e97f17,203913141069193703,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/203913141069193703/f733dd3dc9b3436cb1eb11e490e97f17/artifacts,2025-09-11 13:33:22.774000+00:00,2025-09-11 13:35:42.392000+00:00,0.6443473366317531,1.7854846715927124,0.0023965664608465386,27433.73220443352,0.6159573197364807,102.03621363700222,0.826968252658844,13th Gen Intel(R) Core(TM) i9-13900K,42576.0,120,/data/d1/fischer_diss/imagenet,Inference,3538984,16,Tensorflow 2.20.0,MobileNetV2,ImageNet (ILSVRC 2012),16,PROJECT,https://github.com/raphischer/ai-energy-validation.git,upbeat-kite-451,conda,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,local,fischer,18d87126bd281286c450e330e54bf99edbf44806
99aae156d7024b2c93d7078697c962e8,203913141069193703,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/203913141069193703/99aae156d7024b2c93d7078697c962e8/artifacts,2025-09-11 13:30:43.449000+00:00,2025-09-11 13:33:19.016000+00:00,0.5525921054216785,1.8113566637039185,0.002152830094329999,30485.40127190316,0.6130183935165405,118.7673306439974,0.8229227066040039,13th Gen Intel(R) Core(TM) i9-13900K,55168.0,120,/data/d1/fischer_diss/imagenet,Inference,4253864,16,Tensorflow 2.20.0,MobileNet,ImageNet (ILSVRC 2012),16,PROJECT,https://github.com/raphischer/ai-energy-validation.git,overjoyed-snipe-688,conda,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,local,fischer,18d87126bd281286c450e330e54bf99edbf44806
