,ocr,value,manual,val_diff,still_errors
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\08956f69612d45719dd4c3d909e86b46_capture_start.jpg,4.613,4.613,False,,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\08956f69612d45719dd4c3d909e86b46_capture_stop.jpg,4.620,4.62,False,0.006999999999999673,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\8d2cdbe7dfc44153a567daf289341d49_capture_start.jpg,4.622,4.622,False,0.0019999999999997797,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\8d2cdbe7dfc44153a567daf289341d49_capture_stop.jpg,4.628,4.628,False,0.006000000000000227,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\41038865be8d450ea1858719043e30b0_capture_start.jpg,4.629,4.629,False,0.0009999999999994458,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\41038865be8d450ea1858719043e30b0_capture_stop.jpg,4.640,4.64,True,0.01100000000000012,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\5a1dfba3117b49da94a744501ed54599_capture_start.jpg,4.641,4.641,True,0.001000000000000334,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\5a1dfba3117b49da94a744501ed54599_capture_stop.jpg,4.650,4.65,False,0.009000000000000341,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\9bf056cddb104207869fb55f1bde22ba_capture_start.jpg,4.652,4.652,False,0.0019999999999997797,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\9bf056cddb104207869fb55f1bde22ba_capture_stop.jpg,4.659,4.659,False,0.006999999999999673,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\d23774e219f34040b5627ee613d8e35a_capture_start.jpg,4.661,4.661,False,0.0019999999999997797,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\d23774e219f34040b5627ee613d8e35a_capture_stop.jpg,4.672,4.672,False,0.01100000000000012,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\b463f67fafc34d1fb9a1b6c0dc13cea8_capture_start.jpg,4.673,4.673,False,0.001000000000000334,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\b463f67fafc34d1fb9a1b6c0dc13cea8_capture_stop.jpg,4.682,4.682,False,0.009000000000000341,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\494a4bfaee9548fc8abf8b10369656d1_capture_start.jpg,4.683,4.683,False,0.0009999999999994458,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\494a4bfaee9548fc8abf8b10369656d1_capture_stop.jpg,4.692,4.692,False,0.009000000000000341,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\efdf1b61710e49f99a1807369e5bdb96_capture_start.jpg,4.693,4.693,False,0.0009999999999994458,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\efdf1b61710e49f99a1807369e5bdb96_capture_stop.jpg,4.701,4.701,True,0.008000000000000007,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\ec92074f67d646a49aede913e4798f6c_capture_start.jpg,4.703,4.703,False,0.002000000000000668,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\ec92074f67d646a49aede913e4798f6c_capture_stop.jpg,4.711,4.711,True,0.008000000000000007,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\52faa1b2bcdf4ca79092a126f93cbce1_capture_start.jpg,4.712,4.712,False,0.0009999999999994458,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\52faa1b2bcdf4ca79092a126f93cbce1_capture_stop.jpg,4.724,4.724,False,0.012000000000000455,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\201e16dcca0e436ebc4c83c369f7c05b_capture_start.jpg,4.725,4.725,False,0.0009999999999994458,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\201e16dcca0e436ebc4c83c369f7c05b_capture_stop.jpg,4.735,4.735,False,0.010000000000000675,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\c8385378370e4eb99b2165768d1c0fd3_capture_start.jpg,4.736,4.736,False,0.0009999999999994458,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\c8385378370e4eb99b2165768d1c0fd3_capture_stop.jpg,4.747,4.747,False,0.01100000000000012,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\66c6ef4f1b6b406085c828b70fadf3d9_capture_start.jpg,4.748,4.748,False,0.001000000000000334,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\66c6ef4f1b6b406085c828b70fadf3d9_capture_stop.jpg,4.759,4.759,False,0.01100000000000012,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\5641dafcef7c46cfaf147fcffedd3501_capture_start.jpg,4.760,4.76,False,0.0009999999999994458,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\5641dafcef7c46cfaf147fcffedd3501_capture_stop.jpg,4.770,4.77,False,0.009999999999999787,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\08baa48f6ec84f34bc5ccda33ea46da1_capture_start.jpg,4.772,4.772,False,0.002000000000000668,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\08baa48f6ec84f34bc5ccda33ea46da1_capture_stop.jpg,4.781,4.781,False,0.008999999999999453,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\dedcf27daafe4908b2ddaeb200b1afa3_capture_start.jpg,4.782,4.782,False,0.001000000000000334,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\dedcf27daafe4908b2ddaeb200b1afa3_capture_stop.jpg,4.790,4.79,False,0.008000000000000007,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\0b1a0841003b42da97f5e47fad36e532_capture_start.jpg,4.791,4.791,False,0.001000000000000334,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\0b1a0841003b42da97f5e47fad36e532_capture_stop.jpg,4.799,4.799,False,0.008000000000000007,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\ee23940ee1da46eba6d6c479b87a5df2_capture_start.jpg,4.801,4.801,True,0.0019999999999997797,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\ee23940ee1da46eba6d6c479b87a5df2_capture_stop.jpg,4.810,4.81,False,0.008999999999999453,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\7390feb262ce4f05baeca50a2fd46558_capture_start.jpg,4.811,4.811,True,0.001000000000000334,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\7390feb262ce4f05baeca50a2fd46558_capture_stop.jpg,4.819,4.819,False,0.008000000000000007,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\2fed4b0d0a8540b7ad7292cb29577aa9_capture_start.jpg,4.820,4.82,False,0.001000000000000334,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\2fed4b0d0a8540b7ad7292cb29577aa9_capture_stop.jpg,4.827,4.827,False,0.006999999999999673,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\236920f5136045bebb6fbdbb63432bd2_capture_start.jpg,4.828,4.828,False,0.001000000000000334,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\236920f5136045bebb6fbdbb63432bd2_capture_stop.jpg,4.834,4.834,True,0.005999999999999339,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\cfde44b10b8043f7b1e4146251db897e_capture_start.jpg,4.836,4.836,False,0.002000000000000668,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\cfde44b10b8043f7b1e4146251db897e_capture_stop.jpg,4.844,4.844,True,0.008000000000000007,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\bb05f13297124cd19d57d6066c7a4ece_capture_start.jpg,4.845,4.845,True,0.0009999999999994458,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\bb05f13297124cd19d57d6066c7a4ece_capture_stop.jpg,4.851,4.851,False,0.006000000000000227,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\e76924efdfff409ba78214344bfd61ad_capture_start.jpg,4.852,4.852,False,0.001000000000000334,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\e76924efdfff409ba78214344bfd61ad_capture_stop.jpg,4.862,4.862,False,0.009999999999999787,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\620dc7736c6e43c8b9aea6fdd13ebca9_capture_start.jpg,4.863,4.863,False,0.001000000000000334,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\620dc7736c6e43c8b9aea6fdd13ebca9_capture_stop.jpg,4.877,4.877,False,0.013999999999999346,False
d:\Repos\ai-energy-validation\results\imagenet_120_2025-09-12_02-10-43\70cae82f76a24177a58e295655dd7685_capture_start.jpg,4.879,4.879,False,0.0019999999999997797,False
