run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.running_time_total,metrics.running_time,metrics.sparse_top_k_categorical_accuracy,metrics.power_draw_total,metrics.loss,metrics.sparse_categorical_accuracy,metrics.power_draw,params.batchsize,params.architecture,params.batch_size,params.seconds,params.dataset,params.task,params.datadir,params.software,params.n_samples,params.parameters,params.model,tags.mlflow.source.type,tags.mlflow.project.env,tags.mlflow.project.backend,tags.mlflow.runName,tags.mlflow.source.git.repoURL,tags.mlflow.source.git.commit,tags.mlflow.user,tags.mlflow.project.entryPoint,tags.mlflow.source.name
34ab31fa754144b5be14bb68f9ba6bbd,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/34ab31fa754144b5be14bb68f9ba6bbd/artifacts,2025-09-20 11:22:27.885000+00:00,2025-09-20 11:25:15.048000+00:00,121.11396692402197,0.004214712100641076,0.922362208366394,29369.380612231802,1.029751181602478,0.7605094909667969,1.022041363176218,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,28736.0,8212124,EfficientNetV2B1,PROJECT,conda,local,indecisive-frog-374,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
56e3960c722d40cf965869759618c58f,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/56e3960c722d40cf965869759618c58f/artifacts,2025-09-20 11:19:44.225000+00:00,2025-09-20 11:22:23.927000+00:00,114.86777765804436,0.0034040948808097544,0.9101766347885132,16332.954753771,1.1219909191131592,0.7395092248916626,0.48402544908045875,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,33744.0,7200312,EfficientNetV2B0,PROJECT,conda,local,kindly-crab-521,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
3220eb5e2bd84d8180e871cd02024c63,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/3220eb5e2bd84d8180e871cd02024c63/artifacts,2025-09-20 11:16:35.997000+00:00,2025-09-20 11:19:40.161000+00:00,120.43605374905746,0.029518640624768985,0.9602941274642944,30399.465786140518,0.8575690984725952,0.8252450823783875,7.450849457387382,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,4080.0,19466823,EfficientNetB4,PROJECT,conda,local,classy-sow-562,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
faa846ab5bd64f98a041608da308d095,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/faa846ab5bd64f98a041608da308d095/artifacts,2025-09-20 11:13:33.508000+00:00,2025-09-20 11:16:32.102000+00:00,122.24722683394792,0.012755345036931126,0.9492904543876648,31447.583926531202,0.8457781672477722,0.8107262253761292,3.2812587569419036,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,9584.0,12320535,EfficientNetB3,PROJECT,conda,local,brawny-lamb-319,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
cb74f66d0cff46f2b0a5da7549da03c6,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/cb74f66d0cff46f2b0a5da7549da03c6/artifacts,2025-09-20 11:10:40.287000+00:00,2025-09-20 11:13:29.588000+00:00,120.38477609795518,0.0065199727089447134,0.9322465062141418,30876.080694805798,0.9915612936019897,0.7755632400512695,1.6722314067810766,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,18464.0,9177569,EfficientNetB2,PROJECT,conda,local,amazing-snake-11,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
a86c6463936647628965dcbb553fa3c1,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/a86c6463936647628965dcbb553fa3c1/artifacts,2025-09-20 11:07:53.522000+00:00,2025-09-20 11:10:36.191000+00:00,119.11530039692298,0.003558655007078244,0.8952856063842773,25065.531038650683,1.265900731086731,0.715613067150116,0.7488507121967819,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,33472.0,5330571,EfficientNetB0,PROJECT,conda,local,bouncy-squid-245,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
4fc7bbbfbbce4f2991ba70312386719b,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/4fc7bbbfbbce4f2991ba70312386719b/artifacts,2025-09-20 11:05:05.023000+00:00,2025-09-20 11:07:49.674000+00:00,116.73712008097208,0.0031986277970454864,0.8390782475471497,5023.9401032491205,1.6599993705749512,0.6339051127433777,0.13765728033891717,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,36496.0,2554968,MobileNetV3Small,PROJECT,conda,local,judicious-snipe-814,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
10454349953a4357a0f9e248e64c5979,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/10454349953a4357a0f9e248e64c5979/artifacts,2025-09-20 11:02:15.363000+00:00,2025-09-20 11:05:01.182000+00:00,110.4837792509934,0.005720991054836029,0.8923467397689819,5193.64777834116,1.2840877771377563,0.7118889689445496,0.26893370848908243,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,19312.0,5507432,MobileNetV3Large,PROJECT,conda,local,welcoming-rook-365,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
fd4d4f3c548a4577820ad9d6a1d2fcea,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/fd4d4f3c548a4577820ad9d6a1d2fcea/artifacts,2025-09-20 10:59:37.022000+00:00,2025-09-20 11:02:11.414000+00:00,113.54088257392868,0.002461430857048402,0.8266562819480896,27857.182062756237,1.7888027429580688,0.6147893071174622,0.6039104678884026,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,46128.0,3538984,MobileNetV2,PROJECT,conda,local,tasteful-cub-569,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
fca94d105ee54a719b3c4363d9885205,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/fca94d105ee54a719b3c4363d9885205/artifacts,2025-09-20 10:56:52.363000+00:00,2025-09-20 10:59:32.919000+00:00,120.62661297398154,0.002138769733581233,0.8224822878837585,29915.228651590078,1.8123503923416138,0.6128368973731995,0.5304118555246468,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,56400.0,4253864,MobileNet,PROJECT,conda,local,efficient-wolf-270,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
