,ocr,value,manual,val_diff,still_errors
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\105bf5fb874647c38390961756a9bfe5_capture_start.jpg,0.006,0.006,True,,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\105bf5fb874647c38390961756a9bfe5_capture_stop.jpg,0.177,0.177,True,0.17099999999999999,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\37e3c76e80684a9aa85c90f6d1dd0b73_capture_start.jpg,0.178,0.178,True,0.0010000000000000009,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\37e3c76e80684a9aa85c90f6d1dd0b73_capture_stop.jpg,0.291,0.291,False,0.11299999999999999,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\642a3dc248564bcd8f0dda955d8ac63d_capture_start.jpg,0.294,0.294,True,0.0030000000000000027,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\642a3dc248564bcd8f0dda955d8ac63d_capture_stop.jpg,0.422,0.422,False,0.128,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\38848c85ea95405d9e64980b71be190b_capture_start.jpg,0.530,0.53,False,0.10800000000000004,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\38848c85ea95405d9e64980b71be190b_capture_stop.jpg,0.632,0.632,False,0.10199999999999998,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\5456913672a64923b0b9bad825ca2cf8_capture_start.jpg,0.633,0.633,True,0.0010000000000000009,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\5456913672a64923b0b9bad825ca2cf8_capture_stop.jpg,0.724,0.724,False,0.09099999999999997,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\add37e44619046078f2ae7d781ffc682_capture_start.jpg,0.726,0.726,False,0.0020000000000000018,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\add37e44619046078f2ae7d781ffc682_capture_stop.jpg,0.829,0.829,False,0.10299999999999998,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\3e4817dffe084e2ba72e9d196ac8c695_capture_start.jpg,0.829,0.829,False,0.0,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\3e4817dffe084e2ba72e9d196ac8c695_capture_stop.jpg,0.953,0.953,False,0.124,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\e7a5fd75c05f4dfe9f0cd0fc5317ed33_capture_start.jpg,0.954,0.954,False,0.0010000000000000009,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\e7a5fd75c05f4dfe9f0cd0fc5317ed33_capture_stop.jpg,1.025,1.025,False,0.07099999999999995,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\14f3e512182b4940b0a6b8e2a4718870_capture_start.jpg,1.025,1.025,False,0.0,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\14f3e512182b4940b0a6b8e2a4718870_capture_stop.jpg,1.091,1.091,True,0.06600000000000006,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\4041e3c83adf49188f013f6dfb5761b2_capture_start.jpg,1.094,1.094,False,0.0030000000000001137,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\4041e3c83adf49188f013f6dfb5761b2_capture_stop.jpg,1.174,1.174,False,0.07999999999999985,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\3dac03a4782c43b39017eee5e627d180_capture_start.jpg,1.175,1.175,False,0.001000000000000112,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\3dac03a4782c43b39017eee5e627d180_capture_stop.jpg,1.255,1.255,False,0.07999999999999985,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\004dfadb11b247c986593e42201ca1ee_capture_start.jpg,1.259,1.259,False,0.0040000000000000036,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\004dfadb11b247c986593e42201ca1ee_capture_stop.jpg,1.378,1.378,False,0.119,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\7104b68ac7954b1fa95285086534a0b5_capture_start.jpg,1.379,1.379,True,0.001000000000000112,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\7104b68ac7954b1fa95285086534a0b5_capture_stop.jpg,1.503,1.503,False,0.12399999999999989,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\c5fe162425fa4298b6511ca45d7b2fc0_capture_start.jpg,1.505,1.505,False,0.0020000000000000018,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\c5fe162425fa4298b6511ca45d7b2fc0_capture_stop.jpg,1.612,1.612,False,0.1070000000000002,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\75062e12775a47fc879cc23d3751acb6_capture_start.jpg,1.613,1.613,True,0.0009999999999998899,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\75062e12775a47fc879cc23d3751acb6_capture_stop.jpg,1.727,1.727,False,0.1140000000000001,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\5bdbb5f9e2bc4a9d8f77b01bbb2e8f19_capture_start.jpg,1.728,1.728,False,0.0009999999999998899,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\5bdbb5f9e2bc4a9d8f77b01bbb2e8f19_capture_stop.jpg,1.825,1.825,False,0.09699999999999998,False
d:\Repos\ai-energy-validation\results\ollama_900_2025-09-11_15-02-36\fcd0258406f14dd2a3273b26143d4d3d_capture_start.jpg,1.826,1.826,False,0.001000000000000112,False
