run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.power_draw,metrics.running_time_total,metrics.power_draw_total,metrics.n_tokens_in,metrics.n_tokens_out,metrics.running_time,params.architecture,params.file_size,params.task,params.dataset,params.n_samples,params.model,params.temperature,params.parameters,params.seconds,tags.mlflow.runName,tags.mlflow.source.name,tags.mlflow.project.env,tags.mlflow.project.backend,tags.mlflow.source.git.repoURL,tags.mlflow.source.type,tags.mlflow.project.entryPoint,tags.mlflow.user,tags.mlflow.source.git.commit
707e58dc3fde4edfb4c653ac93744dc2,729969994759418556,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/729969994759418556/707e58dc3fde4edfb4c653ac93744dc2/artifacts,2025-09-17 03:08:59.400000+00:00,2025-09-17 03:24:29.352000+00:00,1097.3456504812616,905.7500005800392,341274.49729967234,50829.0,131150.0,2.912379423086943,NVIDIA GeForce RTX 4090,4472032405,Inference,LLM Benchmark (Puffin),311,olmo2:7b,0.7,7.3B,900,merciful-snipe-971,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,local,https://github.com/raphischer/ai-energy-validation.git,PROJECT,main.py,fischer,8748110aced22fd68117295a83bd4c322af24d42
3edbd3f44edd40ef845dd7df1516572c,729969994759418556,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/729969994759418556/3edbd3f44edd40ef845dd7df1516572c/artifacts,2025-09-17 02:52:27.938000+00:00,2025-09-17 03:08:56.345000+00:00,1087.8087573366224,898.4649627030012,337220.71477435296,49729.0,130184.0,2.8982740732354877,NVIDIA GeForce RTX 4090,4472032405,Inference,LLM Benchmark (Puffin),310,olmo2:7b,0.1,7.3B,900,rogue-stoat-827,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,local,https://github.com/raphischer/ai-energy-validation.git,PROJECT,main.py,fischer,8748110aced22fd68117295a83bd4c322af24d42
60fc6386b58d485d90e7414f4fd90239,729969994759418556,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/729969994759418556/60fc6386b58d485d90e7414f4fd90239/artifacts,2025-09-17 02:37:01.092000+00:00,2025-09-17 02:52:25.120000+00:00,923.200342144815,899.6463488130248,341584.1265935815,46372.0,126018.0,2.4314766184135808,NVIDIA GeForce RTX 4090,4920757726,Inference,LLM Benchmark (Puffin),370,dolphin3:8b,0.7,8.0B,900,inquisitive-shad-929,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,local,https://github.com/raphischer/ai-energy-validation.git,PROJECT,main.py,fischer,8748110aced22fd68117295a83bd4c322af24d42
a079ca04eb2d43eb875f0b98e879cf5d,729969994759418556,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/729969994759418556/a079ca04eb2d43eb875f0b98e879cf5d/artifacts,2025-09-17 02:20:20.952000+00:00,2025-09-17 02:36:58.144000+00:00,1576.5312288566358,899.1956298429868,346836.87034845987,34015.22935779816,116514.0,4.087252862922667,NVIDIA GeForce RTX 4090,4920757726,Inference,LLM Benchmark (Puffin),220,dolphin3:8b,0.1,8.0B,900,polite-cod-216,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,local,https://github.com/raphischer/ai-energy-validation.git,PROJECT,main.py,fischer,8748110aced22fd68117295a83bd4c322af24d42
734f1da94d2f448f8b631e6fb5031667,729969994759418556,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/729969994759418556/734f1da94d2f448f8b631e6fb5031667/artifacts,2025-09-17 02:04:15.493000+00:00,2025-09-17 02:20:18.098000+00:00,13657.588935734653,921.9262706980226,368754.9012648356,7553.0,65823.0,34.14541743326009,NVIDIA GeForce RTX 4090,11117503233,Inference,LLM Benchmark (Puffin),27,phi4-reasoning:14b,0.7,14.7B,900,monumental-midge-172,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,local,https://github.com/raphischer/ai-energy-validation.git,PROJECT,main.py,fischer,8748110aced22fd68117295a83bd4c322af24d42
3a79f5f62ab8496aa7d372d7f84cb9ff,729969994759418556,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/729969994759418556/3a79f5f62ab8496aa7d372d7f84cb9ff/artifacts,2025-09-17 01:46:26.129000+00:00,2025-09-17 02:04:12.671000+00:00,28929.167623036712,864.6385767349857,347150.01147644053,3459.0,60757.0,72.05321472791547,NVIDIA GeForce RTX 4090,11117503233,Inference,LLM Benchmark (Puffin),12,phi4-reasoning:14b,0.1,14.7B,900,trusting-yak-660,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,local,https://github.com/raphischer/ai-energy-validation.git,PROJECT,main.py,fischer,8748110aced22fd68117295a83bd4c322af24d42
7e2a5bcbdb7d4310b7559feb64e710a1,729969994759418556,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/729969994759418556/7e2a5bcbdb7d4310b7559feb64e710a1/artifacts,2025-09-17 01:31:00.331000+00:00,2025-09-17 01:46:23.248000+00:00,3005.3097816843688,897.6647453379701,369653.1031471774,21994.0,77105.0,7.2980873604713015,NVIDIA GeForce RTX 4090,9053116391,Inference,LLM Benchmark (Puffin),123,phi4:14b,0.7,14.7B,900,sassy-gull-451,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,local,https://github.com/raphischer/ai-energy-validation.git,PROJECT,main.py,fischer,8748110aced22fd68117295a83bd4c322af24d42
04315fe6ec334364bda9d9c25ed43b17,729969994759418556,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/729969994759418556/04315fe6ec334364bda9d9c25ed43b17/artifacts,2025-09-17 01:14:06.503000+00:00,2025-09-17 01:30:57.460000+00:00,2715.5214054053736,895.1227933830232,366595.38972972543,16197.0,77054.0,6.630539210244616,NVIDIA GeForce RTX 4090,9053116391,Inference,LLM Benchmark (Puffin),135,phi4:14b,0.1,14.7B,900,charming-mare-777,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,local,https://github.com/raphischer/ai-energy-validation.git,PROJECT,main.py,fischer,8748110aced22fd68117295a83bd4c322af24d42
4e0e7947c1474f29b268d79e2930d4f2,729969994759418556,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/729969994759418556/4e0e7947c1474f29b268d79e2930d4f2/artifacts,2025-09-17 00:58:38.182000+00:00,2025-09-17 01:14:03.544000+00:00,139.0077584240645,900.1373847679934,302480.8823307643,344335.0,230191.0,0.41366607755882046,NVIDIA GeForce RTX 4090,2176178913,Inference,LLM Benchmark (Puffin),2176,phi3:3.8b,0.7,3.8B,900,dapper-grub-602,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,local,https://github.com/raphischer/ai-energy-validation.git,PROJECT,main.py,fischer,8748110aced22fd68117295a83bd4c322af24d42
bf0717578ed545cf8069315570be5e14,729969994759418556,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/729969994759418556/bf0717578ed545cf8069315570be5e14/artifacts,2025-09-17 00:42:34.930000+00:00,2025-09-17 00:58:35.409000+00:00,132.2448978160022,899.836193813011,303634.2853855411,383146.5026178011,215171.0,0.3919147185596738,NVIDIA GeForce RTX 4090,2176178913,Inference,LLM Benchmark (Puffin),2296,phi3:3.8b,0.1,3.8B,900,righteous-chimp-932,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,local,https://github.com/raphischer/ai-energy-validation.git,PROJECT,main.py,fischer,8748110aced22fd68117295a83bd4c322af24d42
