,ocr,value,manual,val_diff,still_errors
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/f4e4f5173b7847b8a434d5bd1f668872_capture_start.jpg,7.994,7.994,True,,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/f4e4f5173b7847b8a434d5bd1f668872_capture_stop.jpg,8.143,8.143,True,0.1490000000000009,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/4cce29942f054d10a80dce0cd8c3f6de_capture_start.jpg,8.144,8.144,True,0.0009999999999994458,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/4cce29942f054d10a80dce0cd8c3f6de_capture_stop.jpg,8.261,8.261,True,0.1169999999999991,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/5fe9532327c7497389cdd6a06eed761f_capture_start.jpg,8.264,8.264,True,0.0030000000000001137,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/5fe9532327c7497389cdd6a06eed761f_capture_stop.jpg,8.398,8.398,True,0.13400000000000034,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/9d033849e4a24f3fb103512811d5a59b_capture_start.jpg,8.518,8.518,True,0.120000000000001,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/9d033849e4a24f3fb103512811d5a59b_capture_stop.jpg,8.621,8.621,True,0.10299999999999976,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/eea79d12cc724a9cbd6c206efb0bb3b6_capture_start.jpg,8.622,8.622,True,0.0009999999999994458,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/eea79d12cc724a9cbd6c206efb0bb3b6_capture_stop.jpg,8.714,8.714,True,0.09200000000000053,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/88ada413a83f4d5ea4a33383c07be0f4_capture_start.jpg,8.717,8.717,True,0.0030000000000001137,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/88ada413a83f4d5ea4a33383c07be0f4_capture_stop.jpg,8.841,8.841,True,0.12399999999999878,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/3e66c1ce35ac4bd0a5547ed342e7849c_capture_start.jpg,8.842,8.842,True,0.0010000000000012221,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/3e66c1ce35ac4bd0a5547ed342e7849c_capture_stop.jpg,8.960,8.96,True,0.11800000000000033,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/7c7d01e0d0984d80913922a558e66fbe_capture_start.jpg,8.961,8.961,True,0.0009999999999994458,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/7c7d01e0d0984d80913922a558e66fbe_capture_stop.jpg,9.030,9.03,True,0.06899999999999906,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/f1ddd678e627471bb2f0a06b123067aa_capture_start.jpg,9.031,9.031,True,0.0010000000000012221,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/f1ddd678e627471bb2f0a06b123067aa_capture_stop.jpg,9.097,9.097,True,0.06599999999999895,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/469beb13abd1415f8b82dc03253d9f91_capture_start.jpg,9.101,9.101,True,0.004000000000001336,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/469beb13abd1415f8b82dc03253d9f91_capture_stop.jpg,9.183,9.183,True,0.08199999999999896,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/31abfb37d5cc4988be0c839de5db023a_capture_start.jpg,9.184,9.184,True,0.0009999999999994458,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/31abfb37d5cc4988be0c839de5db023a_capture_stop.jpg,9.290,9.29,True,0.10599999999999987,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/8d8f49f8e3a84bdf9368d2118c2c4521_capture_start.jpg,9.293,9.293,True,0.0030000000000001137,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/8d8f49f8e3a84bdf9368d2118c2c4521_capture_stop.jpg,9.416,9.416,True,0.12300000000000111,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/abe7c84c393a46c281e189ce951531af_capture_start.jpg,9.417,9.417,True,0.0009999999999994458,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/abe7c84c393a46c281e189ce951531af_capture_stop.jpg,9.542,9.542,True,0.125,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/38313386a13c47f7b07acd53b3542a28_capture_start.jpg,9544,9.544,True,0.002000000000000668,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/38313386a13c47f7b07acd53b3542a28_capture_stop.jpg,9.659,9.659,True,0.11500000000000021,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/16a2c30654fd4adb8f6eae017910c915_capture_start.jpg,9.660,9.66,True,0.0009999999999994458,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/16a2c30654fd4adb8f6eae017910c915_capture_stop.jpg,9.778,9.778,True,0.11800000000000033,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/daa9e03306ad49e18ef3dfa00b173d0f_capture_start.jpg,9.780,9.78,True,0.0019999999999988916,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/daa9e03306ad49e18ef3dfa00b173d0f_capture_stop.jpg,9.871,9.871,True,0.09100000000000108,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/a786a5f0b42a416980974ee99f3d1e74_capture_start.jpg,9.872,9.872,True,0.0009999999999994458,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/a786a5f0b42a416980974ee99f3d1e74_capture_stop.jpg,9.964,9.964,True,0.09200000000000053,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/81f8369c21e7495e89298dd9434e4ba8_capture_start.jpg,9.966,9.966,True,0.0019999999999988916,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-12_15-10-06/81f8369c21e7495e89298dd9434e4ba8_capture_stop.jpg,10.08,10.08,True,0.11400000000000077,False
