run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.running_time_total,metrics.running_time,metrics.n_tokens_out,metrics.power_draw,metrics.n_tokens_in,metrics.power_draw_total,params.parameters,params.task,params.model,params.architecture,params.file_size,params.dataset,params.temperature,params.seconds,params.n_samples,tags.mlflow.user,tags.mlflow.source.git.commit,tags.mlflow.project.env,tags.mlflow.source.name,tags.mlflow.project.backend,tags.mlflow.source.git.repoURL,tags.mlflow.runName,tags.mlflow.project.entryPoint,tags.mlflow.source.type
a82539490cea4ae9be360ac54906f9aa,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/a82539490cea4ae9be360ac54906f9aa/artifacts,2025-09-11 23:05:59.969000+00:00,2025-09-11 23:20:34.069000+00:00,846.0149361370059,56.40099574246706,47785.0,24083.026133842654,4084.0,361245.3920076398,23.6B,Inference,magistral:24b,NVIDIA GeForce RTX 4090,14333921206,LLM Benchmark (Puffin),0.7,900,15,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,magnificent-croc-524,main.py,PROJECT
51d545d31dba494281e583c556b3b6b5,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/51d545d31dba494281e583c556b3b6b5/artifacts,2025-09-11 22:46:48.230000+00:00,2025-09-11 23:05:57.482000+00:00,910.9357816150005,227.7339454037501,50798.0,97607.43422926163,827.0,390429.73691704654,23.6B,Inference,magistral:24b,NVIDIA GeForce RTX 4090,14333921206,LLM Benchmark (Puffin),0.1,900,4,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,spiffy-stoat-361,main.py,PROJECT
c1cd3ba357cb4e748c2ab87f68150f57,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/c1cd3ba357cb4e748c2ab87f68150f57/artifacts,2025-09-11 22:31:00.581000+00:00,2025-09-11 22:46:45.688000+00:00,919.8330670330032,24.206133342973768,35478.0,8858.250797309118,26543.0,336613.5302977465,24.0B,Inference,mistral-small3.2:24b,NVIDIA GeForce RTX 4090,15177384862,LLM Benchmark (Puffin),0.7,900,38,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,efficient-duck-602,main.py,PROJECT
126782093b9f453981814f29906e96ad,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/126782093b9f453981814f29906e96ad/artifacts,2025-09-11 22:12:16.411000+00:00,2025-09-11 22:30:57.980000+00:00,884.5807958809964,16.381125849648082,34239.0,5956.521344199434,32750.0,321652.1525867694,24.0B,Inference,mistral-small3.2:24b,NVIDIA GeForce RTX 4090,15177384862,LLM Benchmark (Puffin),0.1,900,54,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,burly-cow-198,main.py,PROJECT
5c8ebcf126b64aa5921a4b8483d764fa,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/5c8ebcf126b64aa5921a4b8483d764fa/artifacts,2025-09-11 21:56:49.949000+00:00,2025-09-11 22:12:13.814000+00:00,899.2104104200043,3.0794877069178233,141556.0,1221.3858417703755,49828.646048109964,356644.66579694964,7.2B,Inference,mistral:7b,NVIDIA GeForce RTX 4090,4372824384,LLM Benchmark (Puffin),0.7,900,292,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,honorable-skunk-994,main.py,PROJECT
900e015b59194af0accfa4546d4d2c52,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/900e015b59194af0accfa4546d4d2c52/artifacts,2025-09-11 21:40:15.315000+00:00,2025-09-11 21:56:47.275000+00:00,900.8328987139976,3.053670843098297,142451.0,1205.9520377866754,42741.88775510204,355755.85114706925,7.2B,Inference,mistral:7b,NVIDIA GeForce RTX 4090,4372824384,LLM Benchmark (Puffin),0.1,900,295,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,rambunctious-bat-962,main.py,PROJECT
5429bc1482c74629bf8235cedecd5c0c,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/5429bc1482c74629bf8235cedecd5c0c/artifacts,2025-09-11 21:24:48.307000+00:00,2025-09-11 21:40:12.775000+00:00,899.5105783800027,0.8682534540347516,494901.0,248.93997954838753,183651.2695652174,257901.81881212947,1B,Inference,tinyllama:1.1b,NVIDIA GeForce RTX 4090,637700138,LLM Benchmark (Puffin),0.7,900,1036,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,intelligent-smelt-78,main.py,PROJECT
fa33e2cb5ea84a8f90b452c0c9298792,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/fa33e2cb5ea84a8f90b452c0c9298792/artifacts,2025-09-11 21:08:41.490000+00:00,2025-09-11 21:24:45.785000+00:00,925.8985494189984,2.5506847091432463,515176.0,756.3328509397993,75368.6270718232,274548.82489114715,1B,Inference,tinyllama:1.1b,NVIDIA GeForce RTX 4090,637700138,LLM Benchmark (Puffin),0.1,900,363,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,mercurial-mink-775,main.py,PROJECT
0196523c4082478a90b500677b4b2a4b,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/0196523c4082478a90b500677b4b2a4b/artifacts,2025-09-11 20:53:14.678000+00:00,2025-09-11 21:08:39.019000+00:00,899.817032934996,2.082909798460639,219608.0,700.8639799251941,68840.0,302773.23932768387,3.2B,Inference,llama3.2:3b,NVIDIA GeForce RTX 4090,2019393189,LLM Benchmark (Puffin),0.7,900,432,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,skittish-bug-177,main.py,PROJECT
77b58fde603d48c1bc94e80f15160114,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/77b58fde603d48c1bc94e80f15160114/artifacts,2025-09-11 20:37:13.366000+00:00,2025-09-11 20:53:12.200000+00:00,897.2600376249975,3.58904015049999,212326.0,1240.197097698301,41514.0,310049.2744245752,3.2B,Inference,llama3.2:3b,NVIDIA GeForce RTX 4090,2019393189,LLM Benchmark (Puffin),0.1,900,250,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,thundering-mole-105,main.py,PROJECT
ca0ff21d953d4f6db131c03584ad4ed6,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/ca0ff21d953d4f6db131c03584ad4ed6/artifacts,2025-09-11 20:21:49.623000+00:00,2025-09-11 20:37:10.923000+00:00,896.5461378999971,3.8644230081896427,125752.0,1487.4039749686704,35730.0,345077.7221927315,8.0B,Inference,llama3.1:8b,NVIDIA GeForce RTX 4090,4920753328,LLM Benchmark (Puffin),0.7,900,232,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,wise-grub-501,main.py,PROJECT
5abd19e39e30401b9ff5c259b07a622d,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/5abd19e39e30401b9ff5c259b07a622d/artifacts,2025-09-11 20:05:30.546000+00:00,2025-09-11 20:21:46.987000+00:00,899.5623312500029,5.451892916666684,124471.0,2123.712838034922,22550.0,350412.61827576207,8.0B,Inference,llama3.1:8b,NVIDIA GeForce RTX 4090,4920753328,LLM Benchmark (Puffin),0.1,900,165,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,painted-fox-932,main.py,PROJECT
fcd0258406f14dd2a3273b26143d4d3d,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/fcd0258406f14dd2a3273b26143d4d3d/artifacts,2025-09-11 19:50:09.789000+00:00,2025-09-11 20:05:27.919000+00:00,893.9192304130047,7.981421700116114,398386.0,2263.7400734675507,19967.0,253538.88822836566,751.63M,Inference,qwen3:0.6b,NVIDIA GeForce RTX 4090,522653767,LLM Benchmark (Puffin),0.7,900,112,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,brawny-koi-141,main.py,PROJECT
