run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.sparse_top_k_categorical_accuracy,metrics.loss,metrics.sparse_categorical_accuracy,metrics.running_time,metrics.time_total,metrics.power_draw,params.seconds,params.task,params.batch_size,params.dataset,params.architecture,params.software,params.nogpu,params.model,params.datadir,params.n_samples,tags.mlflow.source.type,tags.mlflow.runName,tags.mlflow.source.name,tags.mlflow.source.git.repoURL,tags.mlflow.user,tags.mlflow.project.env,tags.mlflow.source.git.commit,tags.mlflow.project.entryPoint,tags.mlflow.project.backend
0e39a4edfebe4705a539b4aced1f7ab8,173664400862861744,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/173664400862861744/0e39a4edfebe4705a539b4aced1f7ab8/artifacts,2025-08-31 18:35:30.648000+00:00,2025-08-31 18:36:49.200000+00:00,0.8824840784072876,1.3003504276275635,0.6919876337051392,0.0008249503373807169,58.08970295700056,0.15329607458786298,60,Inference,16,ImageNet (ILSVRC 2012),NVIDIA GeForce RTX 4090,Tensorflow 2.20.0,0,DenseNet121,/data/d1/fischer_diss/imagenet,70416.0,PROJECT,marvelous-colt-99,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,https://github.com/raphischer/ai-energy-validation.git,fischer,conda,dd2a298800b5b5e1b1e85b45e92bb88c4d10c7b6,main.py,local
74964a3153c24506b89fb7dba454e7a6,173664400862861744,FAILED,file:///home/fischer/repos/ai-energy-validation/mlruns/173664400862861744/74964a3153c24506b89fb7dba454e7a6/artifacts,2025-08-31 18:35:20.289000+00:00,2025-08-31 18:35:29.634000+00:00,,,,,,,60,Inference,16,ImageNet (ILSVRC 2012),NVIDIA GeForce RTX 4090,Tensorflow 2.20.0,0,DenseNet121,/data/d1/fischer_diss/imagenet,,PROJECT,judicious-yak-907,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,https://github.com/raphischer/ai-energy-validation.git,fischer,conda,dd2a298800b5b5e1b1e85b45e92bb88c4d10c7b6,main.py,local
1e8338d21044470c9569e6596dad2469,173664400862861744,FAILED,file:///home/fischer/repos/ai-energy-validation/mlruns/173664400862861744/1e8338d21044470c9569e6596dad2469/artifacts,2025-08-31 18:35:06.745000+00:00,2025-08-31 18:35:19.249000+00:00,,,,,,,60,Inference,16,ImageNet (ILSVRC 2012),NVIDIA GeForce RTX 4090,Tensorflow 2.20.0,0,DenseNet121,/data/d1/fischer_diss/imagenet,,PROJECT,adorable-mule-578,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,https://github.com/raphischer/ai-energy-validation.git,fischer,conda,dd2a298800b5b5e1b1e85b45e92bb88c4d10c7b6,main.py,local

