run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.power_draw_total,metrics.running_time,metrics.power_draw,metrics.sparse_top_k_categorical_accuracy,metrics.sparse_categorical_accuracy,metrics.loss,metrics.running_time_total,params.parameters,params.architecture,params.datadir,params.model,params.software,params.batch_size,params.batchsize,params.n_samples,params.seconds,params.dataset,params.task,tags.mlflow.source.type,tags.mlflow.project.env,tags.mlflow.project.backend,tags.mlflow.runName,tags.mlflow.source.git.repoURL,tags.mlflow.source.name,tags.mlflow.project.entryPoint,tags.mlflow.user,tags.mlflow.source.git.commit
102a31c4f2754f669fd9ca274e921d69,963189469526681518,FAILED,file:///home/fischer/repos/ai-energy-validation/mlruns/963189469526681518/102a31c4f2754f669fd9ca274e921d69/artifacts,2025-09-10 03:15:00.689000+00:00,2025-09-10 03:15:15.004000+00:00,,,,,,,,43265143,NVIDIA GeForce RTX 4090,/data/d1/fischer_diss/imagenet,EfficientNetB6,Tensorflow 2.20.0,16,16,,120,ImageNet (ILSVRC 2012),Inference,PROJECT,conda,local,serious-crane-726,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,fischer,a53f9954b59e9eb3d783fc6e12876855c920794a
40083c36f85c4759b32b2a00f029d311,963189469526681518,FAILED,file:///home/fischer/repos/ai-energy-validation/mlruns/963189469526681518/40083c36f85c4759b32b2a00f029d311/artifacts,2025-09-10 03:14:32.847000+00:00,2025-09-10 03:14:54.811000+00:00,,,,,,,,43265143,NVIDIA GeForce RTX 4090,/data/d1/fischer_diss/imagenet,EfficientNetB6,Tensorflow 2.20.0,16,16,,120,ImageNet (ILSVRC 2012),Inference,PROJECT,conda,local,spiffy-kit-123,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,fischer,a53f9954b59e9eb3d783fc6e12876855c920794a
4a3577abc72b41878c5cbd67c549c269,963189469526681518,FAILED,file:///home/fischer/repos/ai-energy-validation/mlruns/963189469526681518/4a3577abc72b41878c5cbd67c549c269/artifacts,2025-09-10 03:14:02.664000+00:00,2025-09-10 03:14:26.932000+00:00,,,,,,,,43265143,NVIDIA GeForce RTX 4090,/data/d1/fischer_diss/imagenet,EfficientNetB6,Tensorflow 2.20.0,16,16,,120,ImageNet (ILSVRC 2012),Inference,PROJECT,conda,local,unleashed-bat-256,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,fischer,a53f9954b59e9eb3d783fc6e12876855c920794a
6b720054e1304a08a181cdc8fda18a68,963189469526681518,FAILED,file:///home/fischer/repos/ai-energy-validation/mlruns/963189469526681518/6b720054e1304a08a181cdc8fda18a68/artifacts,2025-09-10 03:13:47.175000+00:00,2025-09-10 03:13:56.093000+00:00,,,,,,,,,,/data/d1/fischer_diss/imagenet,EfficientNetB6,,,16,,120,,,PROJECT,conda,local,sassy-trout-547,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,fischer,a53f9954b59e9eb3d783fc6e12876855c920794a
33e1859250a54f65941b59705005069b,963189469526681518,FAILED,file:///home/fischer/repos/ai-energy-validation/mlruns/963189469526681518/33e1859250a54f65941b59705005069b/artifacts,2025-09-10 03:13:28.732000+00:00,2025-09-10 03:13:41.239000+00:00,,,,,,,,43265143,NVIDIA GeForce RTX 4090,/data/d1/fischer_diss/imagenet,EfficientNetB6,Tensorflow 2.20.0,16,16,,120,ImageNet (ILSVRC 2012),Inference,PROJECT,conda,local,colorful-yak-445,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,fischer,a53f9954b59e9eb3d783fc6e12876855c920794a
9b630d1cce7e4b2693b5672e34023a43,963189469526681518,FAILED,file:///home/fischer/repos/ai-energy-validation/mlruns/963189469526681518/9b630d1cce7e4b2693b5672e34023a43/artifacts,2025-09-10 03:12:57.543000+00:00,2025-09-10 03:13:22.839000+00:00,,,,,,,,43265143,NVIDIA GeForce RTX 4090,/data/d1/fischer_diss/imagenet,EfficientNetB6,Tensorflow 2.20.0,16,16,,120,ImageNet (ILSVRC 2012),Inference,PROJECT,conda,local,righteous-quail-501,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,fischer,a53f9954b59e9eb3d783fc6e12876855c920794a
590c130f38274cd2909e628fa168cec3,963189469526681518,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/963189469526681518/590c130f38274cd2909e628fa168cec3/artifacts,2025-09-10 03:10:01.187000+00:00,2025-09-10 03:12:53.228000+00:00,36517.7989962468,0.0033241325969014875,1.0139326687096513,0.9614338278770447,0.8279098272323608,0.7904120087623596,119.72195961000398,30562527,NVIDIA GeForce RTX 4090,/data/d1/fischer_diss/imagenet,EfficientNetB5,Tensorflow 2.20.0,16,16,36016.0,120,ImageNet (ILSVRC 2012),Inference,PROJECT,conda,local,salty-squirrel-143,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,fischer,a53f9954b59e9eb3d783fc6e12876855c920794a
f83303d0613547eebfbc2181d9e89d9c,963189469526681518,FAILED,file:///home/fischer/repos/ai-energy-validation/mlruns/963189469526681518/f83303d0613547eebfbc2181d9e89d9c/artifacts,2025-09-10 03:09:40.357000+00:00,2025-09-10 03:09:55.309000+00:00,,,,,,,,30562527,NVIDIA GeForce RTX 4090,/data/d1/fischer_diss/imagenet,EfficientNetB5,Tensorflow 2.20.0,16,16,,120,ImageNet (ILSVRC 2012),Inference,PROJECT,conda,local,persistent-foal-376,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,fischer,a53f9954b59e9eb3d783fc6e12876855c920794a
a9639a5563224f8b86f8a303700a49ff,963189469526681518,FAILED,file:///home/fischer/repos/ai-energy-validation/mlruns/963189469526681518/a9639a5563224f8b86f8a303700a49ff/artifacts,2025-09-10 03:09:22.369000+00:00,2025-09-10 03:09:34.355000+00:00,,,,,,,,30562527,NVIDIA GeForce RTX 4090,/data/d1/fischer_diss/imagenet,EfficientNetB5,Tensorflow 2.20.0,16,16,,120,ImageNet (ILSVRC 2012),Inference,PROJECT,conda,local,powerful-lynx-453,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,fischer,a53f9954b59e9eb3d783fc6e12876855c920794a
6324e9b3fe2f4ae399efeb81a8e47fd5,963189469526681518,FAILED,file:///home/fischer/repos/ai-energy-validation/mlruns/963189469526681518/6324e9b3fe2f4ae399efeb81a8e47fd5/artifacts,2025-09-10 03:09:02.772000+00:00,2025-09-10 03:09:15.760000+00:00,,,,,,,,30562527,NVIDIA GeForce RTX 4090,/data/d1/fischer_diss/imagenet,EfficientNetB5,Tensorflow 2.20.0,16,16,,120,ImageNet (ILSVRC 2012),Inference,PROJECT,conda,local,merciful-flea-584,https://github.com/raphischer/ai-energy-validation.git,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet,main.py,fischer,a53f9954b59e9eb3d783fc6e12876855c920794a
