run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.running_time_total,metrics.n_tokens_in,metrics.n_tokens_out,metrics.power_draw_total,metrics.running_time,metrics.power_draw,params.dataset,params.file_size,params.architecture,params.n_samples,params.seconds,params.temperature,params.task,params.model,params.parameters,tags.mlflow.source.git.repoURL,tags.mlflow.project.env,tags.mlflow.user,tags.mlflow.source.type,tags.mlflow.project.entryPoint,tags.mlflow.runName,tags.mlflow.source.name,tags.mlflow.source.git.commit,tags.mlflow.project.backend
ff3a841ccbb14a4e9a2ffb1a9537f94b,867704528900948243,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/867704528900948243/ff3a841ccbb14a4e9a2ffb1a9537f94b/artifacts,2025-09-09 21:03:19.457000+00:00,2025-09-09 21:18:44.173000+00:00,899.7477742980009,364178.0,229204.0,336440.4662324203,0.4206394456746147,157.28867051539052,LLM Benchmark (Puffin),2176178913,NVIDIA GeForce RTX 4090,2139,900,0.7,Inference,phi3:3.8b,3.8B,https://github.com/raphischer/ai-energy-validation.git,conda,fischer,PROJECT,main.py,popular-bird-413,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,a53f9954b59e9eb3d783fc6e12876855c920794a,local
eb90e3db8ef34a40a25d2c5e2a4caec2,867704528900948243,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/867704528900948243/eb90e3db8ef34a40a25d2c5e2a4caec2/artifacts,2025-09-09 20:47:12.155000+00:00,2025-09-09 21:03:16.761000+00:00,901.6798209219996,330143.6579852579,216584.0,339186.61848045996,0.4422166851015202,166.349494105179,LLM Benchmark (Puffin),2176178913,NVIDIA GeForce RTX 4090,2039,900,0.1,Inference,phi3:3.8b,3.8B,https://github.com/raphischer/ai-energy-validation.git,conda,fischer,PROJECT,main.py,big-ox-798,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,a53f9954b59e9eb3d783fc6e12876855c920794a,local
ca2fa58d28054835ab2569c5ad85fdcc,867704528900948243,RUNNING,file:///home/fischer/repos/ai-energy-validation/mlruns/867704528900948243/ca2fa58d28054835ab2569c5ad85fdcc/artifacts,2025-09-09 20:47:09.772000+00:00,,,,,,,,,,,,900,0.1,,phi3:3.8b,,https://github.com/raphischer/ai-energy-validation.git,conda,fischer,PROJECT,main.py,aged-bug-445,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,a53f9954b59e9eb3d783fc6e12876855c920794a,
9165d4bf98f749b8af89943b0bc6cb21,867704528900948243,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/867704528900948243/9165d4bf98f749b8af89943b0bc6cb21/artifacts,2025-09-09 20:31:43.504000+00:00,2025-09-09 20:47:07.182000+00:00,898.3578338449988,38938.0,142548.0,394232.41236243275,3.004541250317722,1318.5030513793738,LLM Benchmark (Puffin),4372824384,NVIDIA GeForce RTX 4090,299,900,0.7,Inference,mistral:7b,7.2B,https://github.com/raphischer/ai-energy-validation.git,conda,fischer,PROJECT,main.py,awesome-worm-248,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,a53f9954b59e9eb3d783fc6e12876855c920794a,local
2fccd168d6a44cc487a81e41664a73dd,867704528900948243,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/867704528900948243/2fccd168d6a44cc487a81e41664a73dd/artifacts,2025-09-09 20:11:10.529000+00:00,2025-09-09 20:31:40.958000+00:00,1156.516523604998,42791.0,177742.0,512936.9126319103,5.050290496091694,2239.899181798735,LLM Benchmark (Puffin),4372824384,NVIDIA GeForce RTX 4090,229,900,0.1,Inference,mistral:7b,7.2B,https://github.com/raphischer/ai-energy-validation.git,conda,fischer,PROJECT,main.py,traveling-auk-64,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,a53f9954b59e9eb3d783fc6e12876855c920794a,local
a45b9454b58f4d6bb8591f7638138764,867704528900948243,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/867704528900948243/a45b9454b58f4d6bb8591f7638138764/artifacts,2025-09-09 19:55:43.349000+00:00,2025-09-09 20:11:07.637000+00:00,899.7019038910003,72767.0,218998.0,337308.5139460924,2.2777263389645577,853.9456049268161,LLM Benchmark (Puffin),2019393189,NVIDIA GeForce RTX 4090,395,900,0.7,Inference,llama3.2:3b,3.2B,https://github.com/raphischer/ai-energy-validation.git,conda,fischer,PROJECT,main.py,gentle-fowl-981,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,a53f9954b59e9eb3d783fc6e12876855c920794a,local
8ba39f096a514376a0397544e186c86f,867704528900948243,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/867704528900948243/8ba39f096a514376a0397544e186c86f/artifacts,2025-09-09 19:39:42.649000+00:00,2025-09-09 19:55:40.628000+00:00,898.4446092220023,66698.0,215990.0,338694.6754922227,2.523720812421355,951.389537899502,LLM Benchmark (Puffin),2019393189,NVIDIA GeForce RTX 4090,356,900,0.1,Inference,llama3.2:3b,3.2B,https://github.com/raphischer/ai-energy-validation.git,conda,fischer,PROJECT,main.py,unleashed-cod-431,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,a53f9954b59e9eb3d783fc6e12876855c920794a,local
0539de8762b644e6929ac1939eee89bd,867704528900948243,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/867704528900948243/0539de8762b644e6929ac1939eee89bd/artifacts,2025-09-09 19:24:15.956000+00:00,2025-09-09 19:39:40.249000+00:00,899.2533204139982,33591.0,127164.0,383051.32886219723,3.6114591181285065,1538.3587504505913,LLM Benchmark (Puffin),4920753328,NVIDIA GeForce RTX 4090,249,900,0.7,Inference,llama3.1:8b,8.0B,https://github.com/raphischer/ai-energy-validation.git,conda,fischer,PROJECT,main.py,unequaled-rook-861,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,a53f9954b59e9eb3d783fc6e12876855c920794a,local
7505f33bf3a442b79ea286b982015d12,867704528900948243,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/867704528900948243/7505f33bf3a442b79ea286b982015d12/artifacts,2025-09-09 19:06:58.072000+00:00,2025-09-09 19:24:13.509000+00:00,926.8904240109988,10610.0,125553.0,401559.56023685436,9.655108583447904,4182.912085800566,LLM Benchmark (Puffin),4920753328,NVIDIA GeForce RTX 4090,96,900,0.1,Inference,llama3.1:8b,8.0B,https://github.com/raphischer/ai-energy-validation.git,conda,fischer,PROJECT,main.py,adaptable-shrike-912,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,a53f9954b59e9eb3d783fc6e12876855c920794a,local
cf3871df2fdc426abd3eaa00d08bc6e4,867704528900948243,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/867704528900948243/cf3871df2fdc426abd3eaa00d08bc6e4/artifacts,2025-09-09 18:51:38.543000+00:00,2025-09-09 19:06:55.760000+00:00,892.4014295630004,13376.0,402306.0,281055.50607305806,7.967869906812504,2509.42416136659,LLM Benchmark (Puffin),522653767,NVIDIA GeForce RTX 4090,112,900,0.7,Inference,qwen3:0.6b,751.63M,https://github.com/raphischer/ai-energy-validation.git,conda,fischer,PROJECT,main.py,mercurial-frog-768,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,a53f9954b59e9eb3d783fc6e12876855c920794a,local
