run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.power_draw,metrics.n_tokens_out,metrics.power_draw_total,metrics.running_time,metrics.n_tokens_in,metrics.running_time_total,params.model,params.parameters,params.dataset,params.file_size,params.n_samples,params.architecture,params.task,params.temperature,params.seconds,tags.mlflow.source.name,tags.mlflow.project.env,tags.mlflow.source.git.commit,tags.mlflow.user,tags.mlflow.project.backend,tags.mlflow.source.git.repoURL,tags.mlflow.runName,tags.mlflow.project.entryPoint,tags.mlflow.source.type
b90ad996a872486d9acdab2703360d65,678602867906376272,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/678602867906376272/b90ad996a872486d9acdab2703360d65/artifacts,2025-09-04 11:36:07.641000+00:00,2025-09-04 11:46:31.071000+00:00,1361.627541499307,94765.0,264155.74305086554,3.081691353262904,30994.0,597.8481225330033,mistral:7b,7.2B,LLM Benchmark (Puffin),4372824384,194,NVIDIA GeForce RTX 4090,Inference,0.7,600,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,72306b5352c7b8a14a0023c9d571521211d52bc0,fischer,local,https://github.com/raphischer/ai-energy-validation.git,mercurial-whale-824,main.py,PROJECT
97410c4d18bb4ebdb97b7310afe96d32,678602867906376272,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/678602867906376272/97410c4d18bb4ebdb97b7310afe96d32/artifacts,2025-09-04 11:24:34.751000+00:00,2025-09-04 11:36:04.996000+00:00,1384.084930514616,94714.0,262976.136797777,3.142856470920991,23635.0,597.1427294749883,mistral:7b,7.2B,LLM Benchmark (Puffin),4372824384,190,NVIDIA GeForce RTX 4090,Inference,0.1,600,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,72306b5352c7b8a14a0023c9d571521211d52bc0,fischer,local,https://github.com/raphischer/ai-energy-validation.git,capable-colt-899,main.py,PROJECT
62e000c202ec42f985da385d854f8579,678602867906376272,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/678602867906376272/62e000c202ec42f985da385d854f8579/artifacts,2025-09-04 11:14:07.266000+00:00,2025-09-04 11:24:32.011000+00:00,754.6801850368796,147307.0,225649.37532602702,2.007019791076969,41288.0,600.0989175320137,llama3.2:3b,3.2B,LLM Benchmark (Puffin),2019393189,299,NVIDIA GeForce RTX 4090,Inference,0.7,600,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,72306b5352c7b8a14a0023c9d571521211d52bc0,fischer,local,https://github.com/raphischer/ai-energy-validation.git,stylish-whale-512,main.py,PROJECT
1d9b2f3688cb4eba9a71ccc15ca5935e,678602867906376272,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/678602867906376272/1d9b2f3688cb4eba9a71ccc15ca5935e/artifacts,2025-09-04 11:01:01.106000+00:00,2025-09-04 11:14:04.395000+00:00,1096.3807941451241,162425.0,258745.86741824928,2.8817348680931283,31572.0,680.0894288699783,llama3.2:3b,3.2B,LLM Benchmark (Puffin),2019393189,236,NVIDIA GeForce RTX 4090,Inference,0.1,600,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,72306b5352c7b8a14a0023c9d571521211d52bc0,fischer,local,https://github.com/raphischer/ai-energy-validation.git,gaudy-hog-363,main.py,PROJECT
cd0887c0d1dd49fab44b80687cd6bb2b,678602867906376272,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/678602867906376272/cd0887c0d1dd49fab44b80687cd6bb2b/artifacts,2025-09-04 10:50:35.658000+00:00,2025-09-04 11:00:58.397000+00:00,1539.6799005535468,84667.0,255586.86349188877,3.6012536796507306,21100.0,597.8081108220213,llama3.1:8b,8.0B,LLM Benchmark (Puffin),4920753328,166,NVIDIA GeForce RTX 4090,Inference,0.7,600,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,72306b5352c7b8a14a0023c9d571521211d52bc0,fischer,local,https://github.com/raphischer/ai-energy-validation.git,masked-ant-467,main.py,PROJECT
5836130bd0084c918ea66be8afc82763,678602867906376272,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/678602867906376272/5836130bd0084c918ea66be8afc82763/artifacts,2025-09-04 10:38:41.225000+00:00,2025-09-04 10:50:32.850000+00:00,1576.5837177090743,85238.0,256983.14598657913,3.69284626142339,21455.0,601.9339406120125,llama3.1:8b,8.0B,LLM Benchmark (Puffin),4920753328,163,NVIDIA GeForce RTX 4090,Inference,0.1,600,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,72306b5352c7b8a14a0023c9d571521211d52bc0,fischer,local,https://github.com/raphischer/ai-energy-validation.git,bemused-lynx-651,main.py,PROJECT
234441215ff642cc9b6e43ce525979f9,678602867906376272,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/678602867906376272/234441215ff642cc9b6e43ce525979f9/artifacts,2025-09-04 10:28:08.310000+00:00,2025-09-04 10:38:38.501000+00:00,5885.766352685571,121188.0,247202.186812794,14.349992057357062,5645.0,602.6996664089966,qwen3:4b,4.0B,LLM Benchmark (Puffin),2497293918,42,NVIDIA GeForce RTX 4090,Inference,0.7,600,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,72306b5352c7b8a14a0023c9d571521211d52bc0,fischer,local,https://github.com/raphischer/ai-energy-validation.git,languid-ray-688,main.py,PROJECT
32c9ee5110f14f839700e1d18ee40dc2,678602867906376272,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/678602867906376272/32c9ee5110f14f839700e1d18ee40dc2/artifacts,2025-09-04 10:16:59.369000+00:00,2025-09-04 10:28:05.612000+00:00,6257.736765305751,119388.0,244051.7338469243,15.233215188999356,4948.0,594.0953923709749,qwen3:4b,4.0B,LLM Benchmark (Puffin),2497293918,39,NVIDIA GeForce RTX 4090,Inference,0.1,600,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,72306b5352c7b8a14a0023c9d571521211d52bc0,fischer,local,https://github.com/raphischer/ai-energy-validation.git,skittish-eel-856,main.py,PROJECT
a7afab9dfa9f4f7e8fc3769ba832a66d,678602867906376272,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/678602867906376272/a7afab9dfa9f4f7e8fc3769ba832a66d/artifacts,2025-09-04 10:06:48.971000+00:00,2025-09-04 10:16:56.755000+00:00,9870.854184364749,77784.0,256642.20879348347,22.406207829654495,4994.0,582.5614035710169,qwen3:8b,8.2B,LLM Benchmark (Puffin),5225388164,26,NVIDIA GeForce RTX 4090,Inference,0.7,600,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,72306b5352c7b8a14a0023c9d571521211d52bc0,fischer,local,https://github.com/raphischer/ai-energy-validation.git,skillful-fly-734,main.py,PROJECT
4097b7919250493f8aea73af7bc97f8c,678602867906376272,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/678602867906376272/4097b7919250493f8aea73af7bc97f8c/artifacts,2025-09-04 09:53:25.267000+00:00,2025-09-04 10:06:46.262000+00:00,14648.444436785296,91989.0,307617.3331724912,33.18503108514345,1967.0,696.8856527880125,qwen3:8b,8.2B,LLM Benchmark (Puffin),5225388164,21,NVIDIA GeForce RTX 4090,Inference,0.1,600,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,72306b5352c7b8a14a0023c9d571521211d52bc0,fischer,local,https://github.com/raphischer/ai-energy-validation.git,valuable-sheep-93,main.py,PROJECT
